Season,Division,Team,No,Player,Role,Born,Height,Nat. Sport.,Note
2004/2005,A1,Bigmat Kerakoll Chieri,1,MARLETTA VALERIA,Middleblocker,1976,190,ITA,-
2004/2005,A1,Bigmat Kerakoll Chieri,2,SCOTT-ARRUDA DANIELLE,Middleblocker,1972,183,USA,-
2004/2005,A1,Bigmat Kerakoll Chieri,3,GHISLENI RAMONA,Setter,1985,173,ITA,-
2004/2005,A1,Bigmat Kerakoll Chieri,5,ZETOVA ANTONINA,Spiker,1973,190,BUL,-
2004/2005,A1,Bigmat Kerakoll Chieri,7,MARINOVA NELI,Setter,1971,175,BUL,-
2004/2005,A1,Bigmat Kerakoll Chieri,8,ANGELONI VERONICA,Spiker,1986,188,ITA,-
2004/2005,A1,Bigmat Kerakoll Chieri,10,DIAS VIRNA,Spiker,1971,184,BRA,-
2004/2005,A1,Bigmat Kerakoll Chieri,12,VINCENZI CRISTINA,Middleblocker,1979,184,ITA,-
2004/2005,A1,Bigmat Kerakoll Chieri,13,BORRI MAURIZIA,Libero,1977,177,ITA,-
2004/2005,A1,Bigmat Kerakoll Chieri,15,TOM LOGAN,Spiker,1981,186,USA,-
2004/2005,A1,Despar Perugia,1,MOREIRA DE OLIVEIRA WALEWSKA,Middleblocker,1979,190,BRA,-
2004/2005,A1,Despar Perugia,2,SACCO CHIARA,Spiker,1988,168,ITA,-
2004/2005,A1,Despar Perugia,3,SWIENIEWICZ DOROTA,Spiker,1972,180,POL,-
2004/2005,A1,Despar Perugia,4,CRISANTI LUCIA,Middleblocker,1986,186,ITA,-
2004/2005,A1,Despar Perugia,5,MARINKOVIC DRAGANA,Middleblocker,1982,196,CRO,-
2004/2005,A1,Despar Perugia,6,DI IULIO CHIARA,Spiker,1985,185,ITA,-
2004/2005,A1,Despar Perugia,7,FOFAO ROGERIO DE SOUZA HELIA,Setter,1970,172,BRA,-
2004/2005,A1,Despar Perugia,9,ARCANGELI CHIARA,Libero,1983,165,ITA,-
2004/2005,A1,Despar Perugia,10,GUJSKA KATARZYNA,Setter,1975,180,POL,-
2004/2005,A1,Despar Perugia,12,AGUERO TAISMARY,Spiker,1977,177,CUB,-
2004/2005,A1,Despar Perugia,13,FRANCIA VASCONCELOS MIRKA,Spiker,1975,184,CUB,-
2004/2005,A1,Despar Perugia,17,GIOLI SIMONA,Middleblocker,1977,185,ITA,-
2004/2005,A1,Grissin Bon Reggio Emilia,1,ALDRICH ERIN,Middleblocker,1977,188,USA,-
2004/2005,A1,Grissin Bon Reggio Emilia,3,ROANI MANUELA,Spiker,1983,185,ITA,-
2004/2005,A1,Grissin Bon Reggio Emilia,4,STAELENS CHAINE,Spiker,1980,193,NED,from 15/12/2004
2004/2005,A1,Grissin Bon Reggio Emilia,7,GOLINELLI MARZIA,Libero,1983,168,ITA,-
2004/2005,A1,Grissin Bon Reggio Emilia,8,BRANAGH NICOLE,Spiker,1979,187,USA,from 08/10/2004
2004/2005,A1,Grissin Bon Reggio Emilia,9,ARICÒ RAMONA,Spiker,1985,180,ITA,-
2004/2005,A1,Grissin Bon Reggio Emilia,10,BALDELLI GIORGIA,Spiker,1985,178,ITA,-
2004/2005,A1,Grissin Bon Reggio Emilia,11,ROMANÒ MARIA PIA,Middleblocker,1976,180,ITA,-
2004/2005,A1,Grissin Bon Reggio Emilia,12,BO ANNA,Middleblocker,1974,182,ITA,until 10/10/2004
2004/2005,A1,Grissin Bon Reggio Emilia,14,BETCHEVA TEODORA PEEVA,Spiker,1971,180,BUL,-
2004/2005,A1,Grissin Bon Reggio Emilia,15,POGGIALI FEDERICA,Setter,1979,179,ITA,-
2004/2005,A1,Grissin Bon Reggio Emilia,18,FLEDDERUS RIETTE,Setter,1977,171,NED,-
2004/2005,A1,Infotel Europa Systems Forlì,1,DE MORAES ANGELA STELLA,Middleblocker,1972,180,BRA,-
2004/2005,A1,Infotel Europa Systems Forlì,2,CARNESECCHI DORIA,Setter,1965,173,ITA,-
2004/2005,A1,Infotel Europa Systems Forlì,3,MORENO PINO KENNY,Spiker,1979,185,COL,-
2004/2005,A1,Infotel Europa Systems Forlì,4,POLI TANIA,Spiker,1978,181,ITA,-
2004/2005,A1,Infotel Europa Systems Forlì,5,GARZARO ILARIA,Middleblocker,1986,186,ITA,from 29/10/2004
2004/2005,A1,Infotel Europa Systems Forlì,6,ZANIN VALERIA,Setter,1984,175,ITA,-
2004/2005,A1,Infotel Europa Systems Forlì,7,SANGIULIANO RACHELE,Setter,1981,182,ITA,-
2004/2005,A1,Infotel Europa Systems Forlì,8,MACULEWICZ KINGA,Middleblocker,1978,188,FRA,-
2004/2005,A1,Infotel Europa Systems Forlì,9,ROSSETTO CARLA,Libero,1984,168,ITA,-
2004/2005,A1,Infotel Europa Systems Forlì,10,WIJNHOVEN ELKE,Libero,1981,170,NED,-
2004/2005,A1,Infotel Europa Systems Forlì,11,MIFKOVA DARINA,Spiker,1974,188,ITA,-
2004/2005,A1,Infotel Europa Systems Forlì,12,COSTAGRANDE CAROLINA,Spiker,1980,186,ARG,-
2004/2005,A1,Infotel Europa Systems Forlì,14,DEVETAG FRANCESCA,Middleblocker,1986,184,ITA,-
2004/2005,A1,Infotel Europa Systems Forlì,14,MASONI MARIANNA,Spiker,1986,-,-,from 03/11/2004
2004/2005,A1,Infotel Europa Systems Forlì,15,VORONINA TETYANA,Spiker,1977,186,UKR,until 10/01/2005
2004/2005,A1,Minetti Infoplus Vicenza,1,STAROVIC SANJA,Spiker,1983,198,SCG,-
2004/2005,A1,Minetti Infoplus Vicenza,2,TIROZZI VALENTINA,Spiker,1986,181,ITA,-
2004/2005,A1,Minetti Infoplus Vicenza,2,ASTARITA GIUSY,Middleblocker,1988,-,-,from 04/12/2004
2004/2005,A1,Minetti Infoplus Vicenza,2,GORINI GIADA,Spiker,1988,-,-,from 23/10/2004
2004/2005,A1,Minetti Infoplus Vicenza,3,CONTI ANDREA CAROLINA,Spiker,1982,193,ARG,-
2004/2005,A1,Minetti Infoplus Vicenza,4,MOUHA LIESBETH,Middleblocker,1983,188,BEL,-
2004/2005,A1,Minetti Infoplus Vicenza,5,SLIWA MAGDALENA,Setter,1969,173,POL,-
2004/2005,A1,Minetti Infoplus Vicenza,7,LABEE PATRICIA,Spiker,1977,181,NED,-
2004/2005,A1,Minetti Infoplus Vicenza,8,BORRELLI VALENTINA,Spiker,1978,188,ITA,from 27/12/2004
2004/2005,A1,Minetti Infoplus Vicenza,9,LEHTONEN RIIKKA,Spiker,1979,184,FIN,-
2004/2005,A1,Minetti Infoplus Vicenza,10,ZILIO ISABELLA,Libero,1983,174,ITA,-
2004/2005,A1,Minetti Infoplus Vicenza,12,DIRICKX FRAUKE,Setter,1980,187,BEL,-
2004/2005,A1,Minetti Infoplus Vicenza,15,PACCAGNELLA STEFANIA,Middleblocker,1973,184,ITA,-
2004/2005,A1,Minetti Infoplus Vicenza,16,NORATO SIMONA,Middleblocker,1976,186,ITA,-
2004/2005,A1,Minetti Infoplus Vicenza,17,DE GENNARO MONICA,Spiker,1987,172,ITA,-
2004/2005,A1,Minetti Infoplus Vicenza,18,DJERISILO IVANA,Spiker,1983,188,SCG,-
2004/2005,A1,Monte Schiavo Banca Marche Jesi,1,NENKOVSKA ELENA,Spiker,1977,185,BUL,-
2004/2005,A1,Monte Schiavo Banca Marche Jesi,2,PETKOVA ILIYANA,Middleblocker,1977,191,BUL,-
2004/2005,A1,Monte Schiavo Banca Marche Jesi,3,TOGUT ELISA,Spiker,1978,192,ITA,-
2004/2005,A1,Monte Schiavo Banca Marche Jesi,4,LEGGERI MANUELA,Middleblocker,1976,186,ITA,-
2004/2005,A1,Monte Schiavo Banca Marche Jesi,5,SYKORA STACY,Libero,1977,176,USA,-
2004/2005,A1,Monte Schiavo Banca Marche Jesi,6,TURLEA CARMEN,Spiker,1975,185,ROM,-
2004/2005,A1,Monte Schiavo Banca Marche Jesi,8,BORGOGELLI GIULIA,Spiker,1982,186,ITA,-
2004/2005,A1,Monte Schiavo Banca Marche Jesi,9,RITSCHELOVA MARCELA,Middleblocker,1972,191,CZE,-
2004/2005,A1,Monte Schiavo Banca Marche Jesi,11,PACHALE HANKA,Spiker,1976,190,GER,-
2004/2005,A1,Monte Schiavo Banca Marche Jesi,12,VANNINI FRANCESCA,Setter,1973,170,ITA,-
2004/2005,A1,Monte Schiavo Banca Marche Jesi,14,LO BIANCO ELEONORA,Setter,1979,171,ITA,-
2004/2005,A1,Monte Schiavo Banca Marche Jesi,15,DE LUCA BARBARA,Spiker,1975,180,ITA,-
2004/2005,A1,Radio 105 Foppapedretti Bergamo,1,ORTOLANI SERENA,Spiker,1987,187,ITA,-
2004/2005,A1,Radio 105 Foppapedretti Bergamo,2,GRUEN ANGELINA,Spiker,1979,184,GER,-
2004/2005,A1,Radio 105 Foppapedretti Bergamo,3,CROCE PAOLA,Libero,1978,167,ITA,-
2004/2005,A1,Radio 105 Foppapedretti Bergamo,4,MIJALIC ISKRA,Spiker,1983,196,CRO,-
2004/2005,A1,Radio 105 Foppapedretti Bergamo,5,SOKOLOVA LIUBOV,Spiker,1977,191,TUR,-
2004/2005,A1,Radio 105 Foppapedretti Bergamo,6,BARAZZA JENNY,Middleblocker,1981,185,ITA,-
2004/2005,A1,Radio 105 Foppapedretti Bergamo,7,ZHUKOVA IRYNA,Setter,1974,179,UKR,-
2004/2005,A1,Radio 105 Foppapedretti Bergamo,8,SECOLO MANUELA,Spiker,1977,181,ITA,-
2004/2005,A1,Radio 105 Foppapedretti Bergamo,10,PAGGI PAOLA,Middleblocker,1976,182,ITA,-
2004/2005,A1,Radio 105 Foppapedretti Bergamo,12,PICCININI FRANCESCA,Spiker,1979,185,ITA,-
2004/2005,A1,Radio 105 Foppapedretti Bergamo,13,LURASCHI KATJA,Setter,1986,187,ITA,-
2004/2005,A1,Radio 105 Foppapedretti Bergamo,18,POLJAK MAJA,Middleblocker,1983,196,CRO,-
2004/2005,A1,Sant'Orsola Asystel Novara,1,ANZANELLO SARA,Middleblocker,1980,192,ITA,-
2004/2005,A1,Sant'Orsola Asystel Novara,2,NUCU IULIANA,Middleblocker,1980,186,ROM,-
2004/2005,A1,Sant'Orsola Asystel Novara,3,VIGANÒ NATALIA,Spiker,1979,178,ITA,from 22/12/2004
2004/2005,A1,Sant'Orsola Asystel Novara,3,BARCELLINI CRISTINA,Spiker,1986,-,-,from 21/11/2004
2004/2005,A1,Sant'Orsola Asystel Novara,4,FLIER MANON,Spiker,1984,191,NED,-
2004/2005,A1,Sant'Orsola Asystel Novara,6,ALBERTI VALERIA,Spiker,1984,176,ITA,-
2004/2005,A1,Sant'Orsola Asystel Novara,7,HE QUI,Setter,1973,178,CHN,-
2004/2005,A1,Sant'Orsola Asystel Novara,8,KULAKOVA OLESSYA,Middleblocker,1977,190,GER,from 15/01/2005
2004/2005,A1,Sant'Orsola Asystel Novara,9,GLINKA MALGORZATA,Spiker,1978,192,POL,-
2004/2005,A1,Sant'Orsola Asystel Novara,10,CARDULLO PAOLA,Libero,1982,162,ITA,-
2004/2005,A1,Sant'Orsola Asystel Novara,11,NICOLINI LAURA,Middleblocker,1979,187,ITA,-
2004/2005,A1,Sant'Orsola Asystel Novara,12,RADULOVIC BOJANA,Setter,1984,176,SCG,-
2004/2005,A1,Sant'Orsola Asystel Novara,14,CORBELLINI MONICA,Setter,1988,175,ITA,from 13/02/2005
2004/2005,A1,Sant'Orsola Asystel Novara,15,SPASOJEVIC ANJA,Spiker,1983,186,SCG,-
2004/2005,A1,Sant'Orsola Asystel Novara,18,DE CARNE VIRGINIE,Spiker,1977,190,BEL,-
2004/2005,A1,Scavolini Pesaro,3,ROSSO VALERIA,Middleblocker,1981,184,ITA,-
2004/2005,A1,Scavolini Pesaro,4,BERG LINDSEY,Setter,1980,174,USA,-
2004/2005,A1,Scavolini Pesaro,6,BALDIZZONE SARA,Setter,1979,180,ITA,-
2004/2005,A1,Scavolini Pesaro,7,DUSHKYEVICH YEVGENIYA,Middleblocker,1979,187,UKR,-
2004/2005,A1,Scavolini Pesaro,8,RINIERI SIMONA,Spiker,1977,188,ITA,-
2004/2005,A1,Scavolini Pesaro,9,CENTONI NADIA,Spiker,1981,185,ITA,-
2004/2005,A1,Scavolini Pesaro,10,MENGARDA GIORGETE CRISTINA,Spiker,1972,184,BRA,-
2004/2005,A1,Scavolini Pesaro,13,SHEILLA TAVARES DE CASTRO,Spiker,1983,186,BRA,-
2004/2005,A1,Scavolini Pesaro,14,GUIGGI MARTINA,Middleblocker,1984,188,ITA,-
2004/2005,A1,Scavolini Pesaro,15,DEL CORE ANTONELLA,Spiker,1980,182,ITA,-
2004/2005,A1,Scavolini Pesaro,17,PUERARI RAMONA,Libero,1983,170,ITA,-
2004/2005,A1,Siciliani Santeramo,2,FOKKENS JETTIE,Setter,1975,180,NED,-
2004/2005,A1,Siciliani Santeramo,3,SIRRESSI IMMA,Spiker,1990,175,ITA,-
2004/2005,A1,Siciliani Santeramo,4,WIEGERS SANDRA,Spiker,1974,184,NED,-
2004/2005,A1,Siciliani Santeramo,7,BOWN HEATHER,Middleblocker,1978,191,USA,-
2004/2005,A1,Siciliani Santeramo,8,ALMEYDA DE OLIVEIRA ELISANGELA,Spiker,1978,184,BRA,until 14/01/2005
2004/2005,A1,Siciliani Santeramo,9,BECONI BARBARA,Libero,1978,182,ITA,-
2004/2005,A1,Siciliani Santeramo,10,GLIGOROVIC BILJANA,Setter,1982,182,CRO,-
2004/2005,A1,Siciliani Santeramo,11,GRANDO SAMANTHA,Middleblocker,1975,185,ITA,-
2004/2005,A1,Siciliani Santeramo,12,GAGGIOTTI SARA,Libero,1980,170,ITA,-
2004/2005,A1,Siciliani Santeramo,13,NIEMCZYK MALGORZATA,Spiker,1969,180,POL,-
2004/2005,A1,Siciliani Santeramo,15,KAHUMOKU LILY,Spiker,1981,181,USA,from 09/11/2004
2004/2005,A1,Siciliani Santeramo,17,MARULLI MONICA,Middleblocker,1975,196,ITA,-
2004/2005,A1,Terra Sarda Tortolì,1,OSMOKROVIC NATASA,Spiker,1976,182,CRO,-
2004/2005,A1,Terra Sarda Tortolì,2,KARCZMARZEWSKA AGATA,Spiker,1978,186,POL,-
