Season,Division,Championship,Phase,Day,Game,Match No,DMY,Time,Spettatori,Incasso,Casa/Ospite,Team,Club,P.No,Name,Libero,C,Voto,Set1,Set2,Set3,Set4,Set5,Point_Tot,Point_BP,Point_VP,Service_N,Service_Err,Service_Pt,Reception_N,Reception_Err,Reception_Pos%,Reception_Prf%,Spike_N,Spike_Err,Spike_Blocked,Spike_Pt,Spike_Pt%,Block_Invasion,Block_Pt
2004/2005,A1,Regular_Season,1st,1,-,1,9/10/2004,15:45,1230,7749,C,Radio105 Foppapedretti BG,Volley Bergamo,1,Ortolani Serena,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2004/2005,A1,Regular_Season,1st,1,-,1,9/10/2004,15:45,1230,7749,C,Radio105 Foppapedretti BG,Volley Bergamo,2,Gruen Angelina,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2004/2005,A1,Regular_Season,1st,1,-,1,9/10/2004,15:45,1230,7749,C,Radio105 Foppapedretti BG,Volley Bergamo,3,Croce Paola,L,-,-,*,*,*,*,-,-,-,-1,-,-,-,24,1,0.88,0.58,-,-,-,-,-,-,-
2004/2005,A1,Regular_Season,1st,1,-,1,9/10/2004,15:45,1230,7749,C,Radio105 Foppapedretti BG,Volley Bergamo,4,Mijalic Iskra,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2004/2005,A1,Regular_Season,1st,1,-,1,9/10/2004,15:45,1230,7749,C,Radio105 Foppapedretti BG,Volley Bergamo,5,Sokolova Liubov,-,-,6.9,4,4,4,4,-,29,15,22,18,2,3,14,-,0.86,0.57,49,4,1,23,0.47,-,3
2004/2005,A1,Regular_Season,1st,1,-,1,9/10/2004,15:45,1230,7749,C,Radio105 Foppapedretti BG,Volley Bergamo,6,Barazza Jenny,-,-,6.7,5,5,5,5,-,13,7,6,14,3,1,1,-,1,1,14,-,3,10,0.71,1,2
2004/2005,A1,Regular_Season,1st,1,-,1,9/10/2004,15:45,1230,7749,C,Radio105 Foppapedretti BG,Volley Bergamo,7,Zhukova Iryna,-,-,6.2,3,3,3,3,-,5,4,4,14,1,1,1,-,1,1,6,-,-,4,0.67,-,-
2004/2005,A1,Regular_Season,1st,1,-,1,9/10/2004,15:45,1230,7749,C,Radio105 Foppapedretti BG,Volley Bergamo,8,Secolo Manuela,-,-,5.6,6,6,6,6,-,7,2,1,10,1,1,5,-,0.6,0.4,23,2,3,6,0.26,-,-
2004/2005,A1,Regular_Season,1st,1,-,1,9/10/2004,15:45,1230,7749,C,Radio105 Foppapedretti BG,Volley Bergamo,10,Paggi Paola,-,C,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2004/2005,A1,Regular_Season,1st,1,-,1,9/10/2004,15:45,1230,7749,C,Radio105 Foppapedretti BG,Volley Bergamo,12,Piccinini Francesca,-,-,6.6,1,1,1,1,-,12,3,7,22,-,2,28,1,0.86,0.46,25,2,2,10,0.4,-,-
2004/2005,A1,Regular_Season,1st,1,-,1,9/10/2004,15:45,1230,7749,C,Radio105 Foppapedretti BG,Volley Bergamo,13,Luraschi Katja,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2004/2005,A1,Regular_Season,1st,1,-,1,9/10/2004,15:45,1230,7749,C,Radio105 Foppapedretti BG,Volley Bergamo,18,Poljak Maja,-,-,6.7,2,2,2,2,-,11,6,6,20,2,-,-,-,-,-,12,-,3,9,0.75,-,2
2004/2005,A1,Regular_Season,1st,1,-,1,9/10/2004,15:45,1230,7749,O,Siciliani Santeramo,Santeramo,2,Fokkens Jettie,-,-,6.3,3,3,5,3,-,3,2,2,18,1,-,-,-,-,-,6,-,-,2,0.33,-,1
2004/2005,A1,Regular_Season,1st,1,-,1,9/10/2004,15:45,1230,7749,O,Siciliani Santeramo,Santeramo,4,Wiegers Sandra,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2004/2005,A1,Regular_Season,1st,1,-,1,9/10/2004,15:45,1230,7749,O,Siciliani Santeramo,Santeramo,7,Bown Heather,-,-,6,2,2,4,2,-,12,3,5,17,2,1,1,1,-,-,22,2,1,10,0.45,1,1
2004/2005,A1,Regular_Season,1st,1,-,1,9/10/2004,15:45,1230,7749,O,Siciliani Santeramo,Santeramo,8,Almeyda De Oliveira Elisangela,-,-,5.9,6,6,2,6,-,10,2,4,10,3,-,2,-,1,0.5,28,1,2,10,0.36,-,-
2004/2005,A1,Regular_Season,1st,1,-,1,9/10/2004,15:45,1230,7749,O,Siciliani Santeramo,Santeramo,9,Beconi Barbara,L,-,-,*,*,*,*,-,-,-,-1,-,-,-,41,1,0.66,0.44,-,-,-,-,-,-,-
2004/2005,A1,Regular_Season,1st,1,-,1,9/10/2004,15:45,1230,7749,O,Siciliani Santeramo,Santeramo,10,Gligorovic Biljana,-,-,-,-,*,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2004/2005,A1,Regular_Season,1st,1,-,1,9/10/2004,15:45,1230,7749,O,Siciliani Santeramo,Santeramo,11,Grando Samantha,-,-,5.6,1,1,3,1,-,6,2,-5,17,2,-,18,5,0.39,0.06,15,2,2,6,0.4,-,-
2004/2005,A1,Regular_Season,1st,1,-,1,9/10/2004,15:45,1230,7749,O,Siciliani Santeramo,Santeramo,12,Gaggiotti Sara,-,-,-,-,-,*,*,-,-,-,-,2,-,-,3,-,0.67,0.33,-,-,-,-,-,-,-
2004/2005,A1,Regular_Season,1st,1,-,1,9/10/2004,15:45,1230,7749,O,Siciliani Santeramo,Santeramo,13,Niemczyk Malgorzata,-,-,6.3,4,4,6,4,-,15,7,8,11,3,1,23,1,0.83,0.35,31,2,1,11,0.35,-,3
2004/2005,A1,Regular_Season,1st,1,-,1,9/10/2004,15:45,1230,7749,O,Siciliani Santeramo,Santeramo,17,Marulli Monica,-,-,7,5,5,1,5,-,17,8,15,11,1,-,1,-,1,1,14,-,-,10,0.71,1,7
2004/2005,A1,Regular_Season,1st,1,-,2,10/10/2004,18:00,744,5657,C,Bigmat Kerakoll Chieri,Chieri,1,Marletta Valeria,-,-,-,-,*,*,3,-,-,-,-,4,-,-,-,-,-,-,-,-,-,-,-,-,-
2004/2005,A1,Regular_Season,1st,1,-,2,10/10/2004,18:00,744,5657,C,Bigmat Kerakoll Chieri,Chieri,2,Scott-Arruda Danielle,-,-,6.6,6,6,1,6,-,13,4,9,12,2,-,1,-,-,-,20,1,1,13,0.65,-,-
2004/2005,A1,Regular_Season,1st,1,-,2,10/10/2004,18:00,744,5657,C,Bigmat Kerakoll Chieri,Chieri,3,Ghisleni Ramona,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2004/2005,A1,Regular_Season,1st,1,-,2,10/10/2004,18:00,744,5657,C,Bigmat Kerakoll Chieri,Chieri,5,Zetova Antonina,-,-,5.8,4,4,5,4,-,16,6,7,18,1,-,-,-,-,-,35,3,5,15,0.43,-,1
2004/2005,A1,Regular_Season,1st,1,-,2,10/10/2004,18:00,744,5657,C,Bigmat Kerakoll Chieri,Chieri,7,Marinova Neli,-,-,6.2,1,1,2,1,-,2,-,1,17,-,-,-,-,-,-,3,1,-,2,0.67,-,-
