Season,Division,Championship,Phase,Day,Game,Match No,DMY,Time,Spettatori,Incasso,Casa/Ospite,Team,Club,P.No,Name,Libero,C,Voto,Set1,Set2,Set3,Set4,Set5,Point_Tot,Point_BP,Point_VP,Service_N,Service_Err,Service_Pt,Reception_N,Reception_Err,Reception_Pos%,Reception_Prf%,Spike_N,Spike_Err,Spike_Blocked,Spike_Pt,Spike_Pt%,Block_Invasion,Block_Pt
2008/2009,A1,Coppa_Italia,Final,-,-,2787,1/2/2009,18:30,7842,21853,C,Lube Banca Marche Macerata,Lube,1,Lebl Martin,-,-,7,4,5,3,3,-,13,6,11,13,2,-,-,-,-,-,11,-,-,8,0.73,-,5
2008/2009,A1,Coppa_Italia,Final,-,-,2787,1/2/2009,18:30,7842,21853,C,Lube Banca Marche Macerata,Lube,3,Giovi Andrea,L,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2008/2009,A1,Coppa_Italia,Final,-,-,2787,1/2/2009,18:30,7842,21853,C,Lube Banca Marche Macerata,Lube,5,Vermiglio Valerio,-,-,7.4,5,6,4,4,-,2,2,2,12,-,-,2,-,0.5,-,1,-,-,-,-,-,2
2008/2009,A1,Coppa_Italia,Final,-,-,2787,1/2/2009,18:30,7842,21853,C,Lube Banca Marche Macerata,Lube,6,Bartoletti Andrea,-,-,-,*,-,*,*,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2008/2009,A1,Coppa_Italia,Final,-,-,2787,1/2/2009,18:30,7842,21853,C,Lube Banca Marche Macerata,Lube,7,Snippe Jan Willem,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2008/2009,A1,Coppa_Italia,Final,-,-,2787,1/2/2009,18:30,7842,21853,C,Lube Banca Marche Macerata,Lube,9,Saraceni Gianluca,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2008/2009,A1,Coppa_Italia,Final,-,-,2787,1/2/2009,18:30,7842,21853,C,Lube Banca Marche Macerata,Lube,10,Martino Matteo,-,-,6.1,6,1,5,5,-,15,5,6,19,4,4,40,2,0.7,0.5,21,-,3,11,0.52,-,-
2008/2009,A1,Coppa_Italia,Final,-,-,2787,1/2/2009,18:30,7842,21853,C,Lube Banca Marche Macerata,Lube,11,Monopoli Natale,-,C,-,*,-,*,-,-,-,-,-,2,-,-,-,-,-,-,-,-,-,-,-,-,-
2008/2009,A1,Coppa_Italia,Final,-,-,2787,1/2/2009,18:30,7842,21853,C,Lube Banca Marche Macerata,Lube,13,Corsano Mirko,L,-,-,*,*,*,*,-,-,-,-2,-,-,-,26,2,0.38,0.27,-,-,-,-,-,-,-
2008/2009,A1,Coppa_Italia,Final,-,-,2787,1/2/2009,18:30,7842,21853,C,Lube Banca Marche Macerata,Lube,14,"Santana Rodrigo ""Rodrigao""",-,-,6.3,1,2,6,6,-,8,3,4,10,2,-,1,-,-,-,10,-,2,5,0.5,-,3
