Season,Division,Championship,Phase,Day,Game,Match No,DMY,Time,Spettatori,Incasso,Casa/Ospite,Team,Club,Set Won,Set Lost,Set1_Point_Won_Part1,Set1_Point_Won_Part2,Set1_Point_Won_Part3,Set1_Point_Won,Set1_Point_Lost_Part1,Set1_Point_Lost_Part2,Set1_Point_Lost_Part3,Set1_Point_Lost,Set2_Point_Won_Part1,Set2_Point_Won_Part2,Set2_Point_Won_Part3,Set2_Point_Won,Set2_Point_Lost_Part1,Set2_Point_Lost_Part2,Set2_Point_Lost_Part3,Set2_Point_Lost,Set3_Point_Won_Part1,Set3_Point_Won_Part2,Set3_Point_Won_Part3,Set3_Point_Won,Set3_Point_Lost_Part1,Set3_Point_Lost_Part2,Set3_Point_Lost_Part3,Set3_Point_Lost,Set4_Point_Won_Part1,Set4_Point_Won_Part2,Set4_Point_Won_Part3,Set4_Point_Won,Set4_Point_Lost_Part1,Set4_Point_Lost_Part2,Set4_Point_Lost_Part3,Set4_Point_Lost,Set5_Point_Won_Part1,Set5_Point_Won_Part2,Set5_Point_Won_Part3,Set5_Point_Won,Set5_Point_Lost_Part1,Set5_Point_Lost_Part2,Set5_Point_Lost_Part3,Set5_Point_Lost,Point_Tot,Point_BP,Point_VP,Service_N,Service_Err,Service_Pt,Reception_N,Reception_Err,Reception_Pos%,Reception_Prf%,Spike_N,Spike_Err,Spike_Blocked,Spike_Pt,Spike_Pt%,Block_Invasion,Block_Pt
2021/2022,A1,Regular_Season,1st,1,-,1,10/10/2021,18:00,2003,21596,C,Sir Safety Conad Perugia,Perugia,3,0,8,16,21,25,7,15,20,22,8,16,21,25,5,12,15,18,8,16,21,25,6,9,17,23,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,56,21,14,73,12,5,51,-,0.55,0.22,82,4,4,42,0.51,-,9
2021/2022,A1,Regular_Season,1st,1,-,1,10/10/2021,18:00,2003,21596,O,Top Volley Cisterna,Latina,0,3,7,15,20,22,8,16,21,25,5,12,15,18,8,16,21,25,6,9,17,23,8,16,21,25,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,47,12,-1,65,14,-,61,5,0.33,0.11,94,5,9,43,0.46,-,4
2021/2022,A1,Regular_Season,1st,1,-,2,12/10/2021,20:30,1420,15756,C,Itas Trentino,Trento,3,0,8,16,21,25,4,10,15,16,7,16,21,29,8,13,16,27,8,16,20,25,6,15,21,23,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,59,27,9,78,12,5,55,7,0.51,0.2,88,4,7,43,0.49,-,11
2021/2022,A1,Regular_Season,1st,1,-,2,12/10/2021,20:30,1420,15756,O,Verona Volley,Verona,0,3,4,10,15,16,8,16,21,25,8,13,16,27,7,16,21,29,6,15,21,23,8,16,20,25,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,49,16,-2,67,12,7,66,6,0.42,0.23,90,8,11,35,0.39,-,7
2021/2022,A1,Regular_Season,1st,1,-,3,10/10/2021,18:00,1550,14884,C,Vero Volley Monza,Monza Vero Volley,3,1,7,14,20,24,8,16,21,26,8,15,21,25,7,16,17,23,8,16,21,28,5,15,20,26,8,16,21,25,5,11,17,20,-,-,-,-,-,-,-,-,76,27,12,101,22,9,80,2,0.56,0.34,111,9,10,57,0.51,-,10
2021/2022,A1,Regular_Season,1st,1,-,3,10/10/2021,18:00,1550,14884,O,Leo Shoes PerkinElmer Modena,Modena,1,3,8,16,21,26,7,14,20,24,7,16,17,23,8,15,21,25,5,15,20,26,8,16,21,28,5,11,17,20,8,16,21,25,-,-,-,-,-,-,-,-,62,23,-4,96,16,2,79,9,0.51,0.25,101,9,10,50,0.5,-,10
2021/2022,A1,Regular_Season,1st,1,-,4,10/10/2021,15:30,771,5303,C,Gas Sales Bluenergy Piacenza,PiacenzaYou,3,1,8,16,21,25,6,10,14,17,8,16,21,25,7,12,14,17,6,12,15,19,8,16,21,25,8,16,21,27,6,10,18,25,-,-,-,-,-,-,-,-,68,28,5,95,18,4,66,7,0.56,0.41,95,9,3,53,0.56,-,11
2021/2022,A1,Regular_Season,1st,1,-,4,10/10/2021,15:30,771,5303,O,Consar RCM Ravenna,Ravenna Robur,1,3,6,10,14,17,8,16,21,25,7,12,14,17,8,16,21,25,8,16,21,25,6,12,15,19,6,10,18,25,8,16,21,27,-,-,-,-,-,-,-,-,55,15,-13,85,19,7,77,4,0.4,0.3,104,7,11,45,0.43,-,3
2021/2022,A1,Regular_Season,1st,1,-,5,9/10/2021,18:00,1486,19036,C,Kioene Padova,Padova,0,3,6,10,15,21,8,16,21,25,8,13,17,20,6,16,21,25,3,10,14,19,8,16,21,25,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,41,9,-7,61,17,8,65,8,0.34,0.12,71,5,9,32,0.45,-,1
2021/2022,A1,Regular_Season,1st,1,-,5,9/10/2021,18:00,1486,19036,O,Cucine Lube Civitanova,Lube,3,0,8,16,21,25,6,10,15,21,6,16,21,25,8,13,17,20,8,16,21,25,3,10,14,19,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,50,23,8,74,9,8,44,8,0.39,0.18,60,8,1,33,0.55,-,9
2021/2022,A1,Regular_Season,1st,1,-,6,10/10/2021,20:30,730,5629,C,Gioiella Prisma Taranto,Taranto,1,3,6,11,17,19,8,16,21,25,5,12,15,17,8,16,21,25,6,15,20,25,8,16,21,22,4,13,19,20,8,16,21,25,-,-,-,-,-,-,-,-,58,14,-7,82,21,-,76,8,0.39,0.21,112,11,9,54,0.48,-,4
2021/2022,A1,Regular_Season,1st,1,-,6,10/10/2021,20:30,730,5629,O,Tonno Callipo Calabria Vibo Valentia,Vibo Valentia,3,1,8,16,21,25,6,11,17,19,8,16,21,25,5,12,15,17,8,16,21,22,6,15,20,25,8,16,21,25,4,13,19,20,-,-,-,-,-,-,-,-,64,24,9,95,19,8,61,-,0.7,0.36,91,4,4,47,0.52,-,9
2021/2022,A1,Regular_Season,1st,2,-,8,17/10/2021,15:30,1586,19175,C,Cucine Lube Civitanova,Lube,2,3,8,16,21,25,7,13,18,23,7,10,14,16,8,16,21,25,8,16,21,25,6,14,20,23,5,13,15,22,8,16,21,25,4,9,10,12,5,10,12,15,65,18,-6,101,11,6,86,11,0.5,0.26,109,9,9,52,0.48,-,7
2021/2022,A1,Regular_Season,1st,2,-,8,17/10/2021,15:30,1586,19175,O,Gas Sales Bluenergy Piacenza,PiacenzaYou,3,2,7,13,18,23,8,16,21,25,8,16,21,25,7,10,14,16,6,14,20,23,8,16,21,25,8,16,21,25,5,13,15,22,5,10,12,15,4,9,10,12,89,28,23,110,24,9,90,6,0.41,0.2,127,9,7,71,0.56,-,9
2021/2022,A1,Regular_Season,1st,2,-,9,17/10/2021,20:30,924,8495,C,Tonno Callipo Calabria Vibo Valentia,Vibo Valentia,1,3,5,14,17,21,8,16,21,25,7,10,13,16,8,16,21,25,8,16,21,29,7,13,19,27,6,10,18,21,8,16,21,25,-,-,-,-,-,-,-,-,59,20,-3,88,15,5,84,9,0.45,0.24,113,10,14,46,0.41,-,8
2021/2022,A1,Regular_Season,1st,2,-,9,17/10/2021,20:30,924,8495,O,Itas Trentino,Trento,3,1,8,16,21,25,5,14,17,21,8,16,21,25,7,10,13,16,7,13,19,27,8,16,21,29,8,16,21,25,6,10,18,21,-,-,-,-,-,-,-,-,74,30,15,101,17,9,73,5,0.59,0.33,106,7,8,51,0.48,-,14
