Division,Season,Team,Club,No,Player,Role,Born,Height,Born Place,Nat. Sport.,Note1,Note2,,,,
A1,2022/2023,Allianz Milano,Milano,2,MERGAREJO HERNANDEZ Osniel Lazaro,Schiacciatore,1997,197,CUB,CUB,-,-,,,,
A1,2022/2023,Allianz Milano,Milano,3,LAWRENCE Klistan,Schiacciatore,2003,201,CUB,PUR,dal 22/09/2022,-,,,,
A1,2022/2023,Allianz Milano,Milano,5,BONACCHI Federico,Palleggiatore,2004,189,MI,ITA,-,-,,,,
A1,2022/2023,Allianz Milano,Milano,6,VITELLI Marco,Centrale,1996,202,CH,ITA,-,-,,,,
A1,2022/2023,Allianz Milano,Milano,7,FUSARO Francesco,Centrale,1999,200,VE,ITA,dal 03/12/2022,proveniente da HRK Motta di Livenza,,,,
A1,2022/2023,Allianz Milano,Milano,8,LOSER Agustin,Centrale,1997,197,ARG,ARG,-,-,,,,
A1,2022/2023,Allianz Milano,Milano,9,PATRY Jean,Schiacciatore,1996,208,FRA,FRA,-,-,,,,
A1,2022/2023,Allianz Milano,Milano,11,PIANO Matteo,Centrale,1990,209,AT,ITA,-,-,,,,
A1,2022/2023,Allianz Milano,Milano,14,ISHIKAWA Yuki,Schiacciatore,1995,192,JPN,JPN,-,-,,,,
A1,2022/2023,Allianz Milano,Milano,16,PORRO Paolo,Palleggiatore,2001,183,GE,ITA,-,-,,,,
A1,2022/2023,Allianz Milano,Milano,17,COLOMBO Luca Samuele Maria,Libero,2004,178,MI,ITA,-,-,,,,
A1,2022/2023,Allianz Milano,Milano,18,PESARESI Nicola,Libero,1991,190,AN,ITA,-,-,,,,
A1,2022/2023,Allianz Milano,Milano,22,EBADIPOUR Milad,Schiacciatore,1993,196,IRI,IRI,-,-,,,,
A1,2022/2023,Cucine Lube Civitanova,Lube,1,GARCIA FERNANDEZ Gabi,Schiacciatore,1999,200,PUR,USA,-,-,,,,
A1,2022/2023,Cucine Lube Civitanova,Lube,3,SOTTILE Daniele,Palleggiatore,1979,186,ME,ITA,-,-,,,,
A1,2022/2023,Cucine Lube Civitanova,Lube,6,D'AMICO Francesco,Libero,1999,183,BR,ITA,-,-,,,,
A1,2022/2023,Cucine Lube Civitanova,Lube,7,BALASO Fabio,Libero,1995,178,PD,ITA,-,-,,,,
A1,2022/2023,Cucine Lube Civitanova,Lube,9,ZAYTSEV Ivan,Schiacciatore,1988,204,PG,ITA,-,-,,,,
A1,2022/2023,Cucine Lube Civitanova,Lube,10,CHINENYEZE Barthelemy,Centrale,1998,204,FRA,FRA,-,-,,,,
A1,2022/2023,Cucine Lube Civitanova,Lube,11,NIKOLOV Aleksandar,Schiacciatore,2003,206,FRA,BUL,-,-,,,,
A1,2022/2023,Cucine Lube Civitanova,Lube,12,DIAMANTINI Enrico,Centrale,1993,204,PU,ITA,-,-,,,,
A1,2022/2023,Cucine Lube Civitanova,Lube,13,GOTTARDO Mattia,Schiacciatore,2001,190,PD,ITA,-,-,,,,
A1,2022/2023,Cucine Lube Civitanova,Lube,14,AMBROSE Ionut,Centrale,2004,210,MC,ITA,-,-,,,,
A1,2022/2023,Cucine Lube Civitanova,Lube,15,DE CECCO Luciano,Palleggiatore,1988,194,ARG,ARG,-,-,,,,
A1,2022/2023,Cucine Lube Civitanova,Lube,17,ANZANI Simone,Centrale,1992,203,CO,ITA,-,-,,,,
A1,2022/2023,Cucine Lube Civitanova,Lube,21,BOTTOLO Mattia,Schiacciatore,2000,196,VI,ITA,-,-,,,,
A1,2022/2023,Cucine Lube Civitanova,Lube,23,YANT HERRERA Marlon,Schiacciatore,2001,204,CUB,CUB,-,-,,,,
A1,2022/2023,Emma Villas Aubay Siena,Siena,1,PINALI Giulio,Schiacciatore,1997,198,BO,ITA,-,-,,,,
A1,2022/2023,Emma Villas Aubay Siena,Siena,2,RICCI Fabio,Centrale,1994,205,RA,ITA,-,-,,,,
A1,2022/2023,Emma Villas Aubay Siena,Siena,3,VAN GARDEREN Maarten,Schiacciatore,1990,200,NED,NED,-,-,,,,
A1,2022/2023,Emma Villas Aubay Siena,Siena,4,PETRIC Nemanja,Schiacciatore,1987,205,SRB,SRB,-,-,,,,
A1,2022/2023,Emma Villas Aubay Siena,Siena,6,BONAMI Federico,Libero,1993,183,FI,ITA,-,-,,,,
A1,2022/2023,Emma Villas Aubay Siena,Siena,7,RAFFAELLI Giacomo,Schiacciatore,1995,194,GR,ITA,-,-,,,,
A1,2022/2023,Emma Villas Aubay Siena,Siena,8,BIGLINO Omar,Centrale,1995,198,CN,ITA,-,-,,,,
A1,2022/2023,Emma Villas Aubay Siena,Siena,9,PINELLI Riccardo,Palleggiatore,1991,193,MO,ITA,-,-,,,,
A1,2022/2023,Emma Villas Aubay Siena,Siena,10,FINOLI Juan Ignacio,Palleggiatore,1991,190,ARG,ARG,-,-,,,,
A1,2022/2023,Emma Villas Aubay Siena,Siena,11,PEREYRA Federico,Schiacciatore,1988,200,ARG,ARG,-,-,,,,
A1,2022/2023,Emma Villas Aubay Siena,Siena,13,POCHINI Filippo,Libero,1989,185,PG,ITA,-,-,,,,
A1,2022/2023,Emma Villas Aubay Siena,Siena,14,FONTANI Alessio,Schiacciatore,2006,190,SI,ITA,-,-,,,,
A1,2022/2023,Emma Villas Aubay Siena,Siena,15,PELLEGRINI Federico,Schiacciatore,2004,188,SI,ITA,-,-,,,,
A1,2022/2023,Emma Villas Aubay Siena,Siena,16,AUGERO Alessandro,Centrale,2007,193,SI,ITA,-,-,,,,
A1,2022/2023,Emma Villas Aubay Siena,Siena,18,MAZZONE Daniele,Centrale,1992,206,TO,ITA,-,-,,,,
A1,2022/2023,Emma Villas Aubay Siena,Siena,87,BARTMAN Zbigniew,Schiacciatore,1987,195,POL,POL,dal 27/01/2023,-,,,,
A1,2022/2023,Emma Villas Aubay Siena,Siena,12,NGAPETH Swan,Schiacciatore,1992,186,FRA,FRA,fino al 13/12/2022,trasferito a Consar RCM Ravenna,,,,
