Season,Division,Championship,Phase,Day,Game,Match No,DMY,Time,Spettatori,Incasso,Casa/Ospite,Team,Club,P.No,Name,Libero,C,Voto,Set1,Set2,Set3,Set4,Set5,Point_Tot,Point_BP,Point_VP,Service_N,Service_Err,Service_Pt,Reception_N,Reception_Err,Reception_Pos%,Reception_Prf%,Spike_N,Spike_Err,Spike_Blocked,Spike_Pt,Spike_Pt%,Block_Invasion,Block_Pt,,
2022/2023,A1,Regular_Season,1st,1,-,3001,23/10/2022 ,19:30,3613 ,-,C,Prosecco Doc Imoco Conegliano,Conegliano,2,Plummer Kathryn,-,-,-,5,1,4,-,-,11,8,4,7,3,1,21,1,0 ,0.19 ,17 ,2 ,1,8,0.47 ,-,2 ,,
2022/2023,A1,Regular_Season,1st,1,-,3001,23/10/2022 ,19:30,3613 ,-,C,Prosecco Doc Imoco Conegliano,Conegliano,3,Robinson-Cook Kelsey,-,-,-,-,*,-,-,-,-,-,-,2,-,-,2,-,1 ,0.50 ,1 ,-,-,-,-,-,-,,
2022/2023,A1,Regular_Season,1st,1,-,3001,23/10/2022 ,19:30,3613 ,-,C,Prosecco Doc Imoco Conegliano,Conegliano,4,Squarcini Federica,-,-,-,-,*,*,-,-,-,-,-1,2,1,-,-,-,-,-,2 ,-,-,-,-,-,-,,
2022/2023,A1,Regular_Season,1st,1,-,3001,23/10/2022 ,19:30,3613 ,-,C,Prosecco Doc Imoco Conegliano,Conegliano,5,De Kruijf Robin,-,-,-,3,5,2,-,-,8,4,6,15,2,1,-,-,-,-,10 ,-,-,6,0.60 ,-,1 ,,
2022/2023,A1,Regular_Season,1st,1,-,3001,23/10/2022 ,19:30,3613 ,-,C,Prosecco Doc Imoco Conegliano,Conegliano,6,Gennari Alessia,-,-,-,2,4,1,-,-,8,2,1,7,2,-,16,3,1 ,0.44 ,13 ,-,2,5,0.38 ,-,3 ,,
2022/2023,A1,Regular_Season,1st,1,-,3001,23/10/2022 ,19:30,3613 ,-,C,Prosecco Doc Imoco Conegliano,Conegliano,8,Gray Alexa,-,-,-,-,*,*,-,-,4,2,3,1,1,-,1,-,-,-,6 ,-,-,4,0.67 ,-,-,,
2022/2023,A1,Regular_Season,1st,1,-,3001,23/10/2022 ,19:30,3613 ,-,C,Prosecco Doc Imoco Conegliano,Conegliano,9,Lubian Marina,-,-,-,6,2,5,-,-,8,7,6,9,2,-,-,-,-,-,11 ,-,-,7,0.64 ,-,1 ,,
2022/2023,A1,Regular_Season,1st,1,-,3001,23/10/2022 ,19:30,3613 ,-,C,Prosecco Doc Imoco Conegliano,Conegliano,10,De Gennaro Monica,L,-,-,*,*,*,-,-,-,-,-,-,-,-,7,-,1 ,0.86 ,-,-,-,-,-,-,-,,
2022/2023,A1,Regular_Season,1st,1,-,3001,23/10/2022 ,19:30,3613 ,-,C,Prosecco Doc Imoco Conegliano,Conegliano,11,Haak Isabelle,-,-,-,1,3,6,-,-,15,4,11,10,3,-,-,-,-,-,29 ,1 ,-,15,0.52 ,-,-,,
2022/2023,A1,Regular_Season,1st,1,-,3001,23/10/2022 ,19:30,3613 ,-,C,Prosecco Doc Imoco Conegliano,Conegliano,12,Pericati Ylenia,L,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,
