Division,Season,Team,Club,No,Player,Role,Nationality,Height,Birth year,,,,
A1,Stagione2022/23,Bartoccini-Fortinfissi Perugia,Perugia,2,Claudia Provaroni,Schiacciatrice,ITA,181,1998,,,,
A1,Stagione2022/23,Bartoccini-Fortinfissi Perugia,Perugia,4,Giorgia Avenia,Palleggiatrice,ITA,180,1994,,,,
A1,Stagione2022/23,Bartoccini-Fortinfissi Perugia,Perugia,5,Tessa Polder,Centrale,NED,189,1997,,,,
A1,Stagione2022/23,Bartoccini-Fortinfissi Perugia,Perugia,6,Beatrice Gardini,Schiacciatrice,ITA,184,2003,,,,
A1,Stagione2022/23,Bartoccini-Fortinfissi Perugia,Perugia,7,Monika Galkowska,Opposto,POL,188,1996,,,,
A1,Stagione2022/23,Bartoccini-Fortinfissi Perugia,Perugia,8,Chiara Rumori,Libero,ITA,163,1998,,,,
A1,Stagione2022/23,Bartoccini-Fortinfissi Perugia,Perugia,9,Raymariely Santos,Palleggiatrice,PUR,183,1992,,,,
A1,Stagione2022/23,Bartoccini-Fortinfissi Perugia,Perugia,10,Martina Armini,Libero,ITA,175,2002,,,,
A1,Stagione2022/23,Bartoccini-Fortinfissi Perugia,Perugia,11,Benedetta Bartolini,Centrale,ITA,184,1999,,,,
A1,Stagione2022/23,Bartoccini-Fortinfissi Perugia,Perugia,12,Anastasia Guerra,Schiacciatrice,ITA,186,1996,,,,
A1,Stagione2022/23,Bartoccini-Fortinfissi Perugia,Perugia,13,Anamarija Galic,Opposto,AUT,200,2001,,,,
A1,Stagione2022/23,Bartoccini-Fortinfissi Perugia,Perugia,14,Clémence Garcia,Centrale,FRA,186,1997,,,,
A1,Stagione2022/23,Bartoccini-Fortinfissi Perugia,Perugia,17,Linda Nwakalor,Centrale,ITA,187,2002,,,,
A1,Stagione2022/23,Bartoccini-Fortinfissi Perugia,Perugia,18,Alexandra Lazic,Schiacciatrice,SWE,188,1994,,,,
A1,Stagione2022/23,Cbf Balducci Hr Macerata,Macerata,1,Francesca Cosi,Centrale,ITA,189,2000,,,,
A1,Stagione2022/23,Cbf Balducci Hr Macerata,Macerata,3,Silvia Fiori,Libero,ITA,162,1994,,,,
A1,Stagione2022/23,Cbf Balducci Hr Macerata,Macerata,4,Symone Abbott,Schiacciatrice,USA,186,1996,,,,
A1,Stagione2022/23,Cbf Balducci Hr Macerata,Macerata,5,Francesca Napodano,Libero,ITA,175,1999,,,,
A1,Stagione2022/23,Cbf Balducci Hr Macerata,Macerata,7,Claire Chaussee,Schiacciatrice,USA,182,2000,,,,
A1,Stagione2022/23,Cbf Balducci Hr Macerata,Macerata,8,Maria Irene Ricci,Palleggiatrice,ITA,181,1996,,,,
A1,Stagione2022/23,Cbf Balducci Hr Macerata,Macerata,9,Giorgia Quarchioni,Schiacciatrice,ITA,188,1995,,,,
A1,Stagione2022/23,Cbf Balducci Hr Macerata,Macerata,11,Akuabata Felisa Okenwa,Opposto,USA,190,1998,,,,
A1,Stagione2022/23,Cbf Balducci Hr Macerata,Macerata,12,Beatrice Molinaro,Centrale,ITA,190,1995,,,,
A1,Stagione2022/23,Cbf Balducci Hr Macerata,Macerata,14,Alessia Fiesoli,Schiacciatrice,ITA,185,1994,,,,
A1,Stagione2022/23,Cbf Balducci Hr Macerata,Macerata,15,Polina Malik,Opposto,ISR,186,1998,,,,
A1,Stagione2022/23,Cbf Balducci Hr Macerata,Macerata,18,Aurora Poli,Centrale,ITA,188,1999,,,,
A1,Stagione2022/23,Cbf Balducci Hr Macerata,Macerata,19,Freya Aelbrecht,Centrale,BEL,186,1990,,,,
A1,Stagione2022/23,Cbf Balducci Hr Macerata,Macerata,24,Laura Dijkema,Palleggiatrice,NED,184,1990,,,,
A1,Stagione2022/23,Cbf Balducci Hr Macerata,Macerata,77,Aleksandra Lipska,Schiacciatrice,POL,185,1998,,,,
A1,Stagione2022/23,Cuneo Granda S.Bernardo,Cuneo,1,Sofya Kuznetsova,Schiacciatrice,RUS,182,1999,,,,
A1,Stagione2022/23,Cuneo Granda S.Bernardo,Cuneo,3,Danielle Drews,Schiacciatrice,USA,183,1999,,,,
A1,Stagione2022/23,Cuneo Granda S.Bernardo,Cuneo,4,Kim Klein Lankhorst,Palleggiatrice,NED,176,2002,,,,
A1,Stagione2022/23,Cuneo Granda S.Bernardo,Cuneo,6,Agnese Cecconello,Centrale,ITA,190,1999,,,,
A1,Stagione2022/23,Cuneo Granda S.Bernardo,Cuneo,7,Lara Caravello,Libero,ITA,176,1994,,,,
A1,Stagione2022/23,Cuneo Granda S.Bernardo,Cuneo,8,Camilla Basso,Centrale,ITA,181,2006,,,,
A1,Stagione2022/23,Cuneo Granda S.Bernardo,Cuneo,9,Beatrice Agrifoglio,Palleggiatrice,ITA,178,1994,,,,
A1,Stagione2022/23,Cuneo Granda S.Bernardo,Cuneo,10,Greta Szakmary,Schiacciatrice,HUN,186,1991,,,,
A1,Stagione2022/23,Cuneo Granda S.Bernardo,Cuneo,11,Lucille Gicquel,Opposto,FRA,189,1997,,,,
