Division,Season,Team,Club,No,Player,Role,Nationality,Height,Birth year
A1,2023/24,Aeroitalia Smi Roma,Roma Volley Club,1,Erblira Bici,Opposto,ALB,185,1995
A1,2023/24,Aeroitalia Smi Roma,Roma Volley Club,2,Dezirett Madan Rosales,Opposto,CUB,190,2002
A1,2023/24,Aeroitalia Smi Roma,Roma Volley Club,3,Marta Bechis,Palleggiatrice,ITA,180,1989
A1,2023/24,Aeroitalia Smi Roma,Roma Volley Club,4,Jessica Rivero,Schiacciatrice,ESP,181,1995
A1,2023/24,Aeroitalia Smi Roma,Roma Volley Club,5,Michela Ciarrocchi,Centrale,ITA,184,1999
A1,2023/24,Aeroitalia Smi Roma,Roma Volley Club,6,Amber Igiede,Centrale,USA,199,2001
A1,2023/24,Aeroitalia Smi Roma,Roma Volley Club,7,Martina Ferrara,Libero,ITA,168,1999
A1,2023/24,Aeroitalia Smi Roma,Roma Volley Club,8,Michela Rucli,Centrale,ITA,185,1996
A1,2023/24,Aeroitalia Smi Roma,Roma Volley Club,9,Sofia Valoppi,Libero,ITA,167,2003
A1,2023/24,Aeroitalia Smi Roma,Roma Volley Club,11,Ana Beatriz Silva Correa,Centrale,BRA,190,1992
A1,2023/24,Aeroitalia Smi Roma,Roma Volley Club,13,Giulia Melli,Schiacciatrice,ITA,185,1998
A1,2023/24,Aeroitalia Smi Roma,Roma Volley Club,16,Courtney Rose Schwan,Schiacciatrice,USA,185,1996
A1,2023/24,Aeroitalia Smi Roma,Roma Volley Club,19,Margherita Muzi,Palleggiatrice,ITA,182,1994
A1,2023/24,Allianz Vero Volley Milano,Vero Volley,1,Helena Cazaute,Schiacciatrice,FRA,184,1997
A1,2023/24,Allianz Vero Volley Milano,Vero Volley,3,Adhuoljok John Majak Malual,Opposto,ITA,190,2000
A1,2023/24,Allianz Vero Volley Milano,Vero Volley,5,Laura Heyrman,Centrale,BEL,188,1993
A1,2023/24,Allianz Vero Volley Milano,Vero Volley,7,Raphaela Folie,Centrale,ITA,186,1991
A1,2023/24,Allianz Vero Volley Milano,Vero Volley,8,Alessia Orro,Palleggiatrice,ITA,180,1998
A1,2023/24,Allianz Vero Volley Milano,Vero Volley,11,Vittoria Prandi,Palleggiatrice,ITA,180,1994
A1,2023/24,Allianz Vero Volley Milano,Vero Volley,12,Teodora Pusic,Libero,,170,1993
A1,2023/24,Allianz Vero Volley Milano,Vero Volley,14,Dana Rettke,Centrale,USA,203,1999
