Season,Division,Championship,Phase,Day,Game,Match No,DMY,Time,Spettatori,Incasso,Casa/Ospite,Team,Club,P.No,Name,Libero,C,Voto,Set1,Set2,Set3,Set4,Set5,Point_Tot,Point_BP,Point_VP,Service_N,Service_Err,Service_Pt,Reception_N,Reception_Err,Reception_Pos%,Reception_Prf%,Spike_N,Spike_Err,Spike_Blocked,Spike_Pt,Spike_Pt%,Block_Invasion,Block_Pt,,,,
2024/2025,SuperLega,Regular_Season,1st,1,-,1,29/9/2024,17:30,3964 ,€ 31822 ,C,Sir Susa Vim Perugia,Perugia,1,Piccinelli Alessandro,L,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,
2024/2025,SuperLega,Regular_Season,1st,1,-,1,29/9/2024,17:30,3964 ,€ 31822 ,C,Sir Susa Vim Perugia,Perugia,2,Candellaro Davide,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,
2024/2025,SuperLega,Regular_Season,1st,1,-,1,29/9/2024,17:30,3964 ,€ 31822 ,C,Sir Susa Vim Perugia,Perugia,3,Zoppellari Francesco,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,
2024/2025,SuperLega,Regular_Season,1st,1,-,1,29/9/2024,17:30,3964 ,€ 31822 ,C,Sir Susa Vim Perugia,Perugia,5,Cianciotta Nicola,-,-,-,-,*,*,-,-,-,-,-1,2,1,-,-,-,-,-,-,-,-,-,-,-,-,,,,
2024/2025,SuperLega,Regular_Season,1st,1,-,1,29/9/2024,17:30,3964 ,€ 31822 ,C,Sir Susa Vim Perugia,Perugia,6,Giannelli Simone,-,-,-,5,4,5 ,-,-,5,3,-1,15,5,1,-,-,-,-,2,-,-,1,0.50 ,-,3,,,,
2024/2025,SuperLega,Regular_Season,1st,1,-,1,29/9/2024,17:30,3964 ,€ 31822 ,C,Sir Susa Vim Perugia,Perugia,7,Herrera Jaime Jesus,-,-,-,*,*,2 ,-,-,6,2,-1,5,1,1,-,-,-,-,9,1,2,4,0.44 ,-,1,,,,
2024/2025,SuperLega,Regular_Season,1st,1,-,1,29/9/2024,17:30,3964 ,€ 31822 ,C,Sir Susa Vim Perugia,Perugia,8,Loser Agustin,-,-,-,4,3,4 ,-,-,11,4,2,9,5,-,1,-,1.00 ,1.00 ,9,1,-,7,0.78 ,-,4,,,,
2024/2025,SuperLega,Regular_Season,1st,1,-,1,29/9/2024,17:30,3964 ,€ 31822 ,C,Sir Susa Vim Perugia,Perugia,10,Ben Tara Wassim,-,-,-,2,1,*,-,-,8,4,1,8,3,1,-,-,-,-,15,3,1,7,0.47 ,-,-,,,,
2024/2025,SuperLega,Regular_Season,1st,1,-,1,29/9/2024,17:30,3964 ,€ 31822 ,C,Sir Susa Vim Perugia,Perugia,13,Colaci Massimo,L,-,-,*,*,*,-,-,-,-,-,-,-,-,24,-,0.50 ,0.25 ,-,-,-,-,-,-,-,,,,
2024/2025,SuperLega,Regular_Season,1st,1,-,1,29/9/2024,17:30,3964 ,€ 31822 ,C,Sir Susa Vim Perugia,Perugia,14,Ishikawa Yuki,-,-,-,6,5,6 ,-,-,10,4,3,10,1,1,7,1,0.71 ,0.43 ,20,2,2,8,0.40 ,-,1,,,,
