Season,Division,Championship,Phase,Day,Game,Match No,DMY,Time,Spettatori,Incasso,Casa/Ospite,Team,Club,Set Won,Set Lost,Set1_Point_Won_Part1,Set1_Point_Won_Part2,Set1_Point_Won_Part3,Set1_Point_Won,Set1_Point_Lost_Part1,Set1_Point_Lost_Part2,Set1_Point_Lost_Part3,Set1_Point_Lost,Set2_Point_Won_Part1,Set2_Point_Won_Part2,Set2_Point_Won_Part3,Set2_Point_Won,Set2_Point_Lost_Part1,Set2_Point_Lost_Part2,Set2_Point_Lost_Part3,Set2_Point_Lost,Set3_Point_Won_Part1,Set3_Point_Won_Part2,Set3_Point_Won_Part3,Set3_Point_Won,Set3_Point_Lost_Part1,Set3_Point_Lost_Part2,Set3_Point_Lost_Part3,Set3_Point_Lost,Set4_Point_Won_Part1,Set4_Point_Won_Part2,Set4_Point_Won_Part3,Set4_Point_Won,Set4_Point_Lost_Part1,Set4_Point_Lost_Part2,Set4_Point_Lost_Part3,Set4_Point_Lost,Set5_Point_Won_Part1,Set5_Point_Won_Part2,Set5_Point_Won_Part3,Set5_Point_Won,Set5_Point_Lost_Part1,Set5_Point_Lost_Part2,Set5_Point_Lost_Part3,Set5_Point_Lost,Point_Tot,Point_BP,Point_VP,Service_N,Service_Err,Service_Pt,Reception_N,Reception_Err,Reception_Pos%,Reception_Prf%,Spike_N,Spike_Err,Spike_Blocked,Spike_Pt,Spike_Pt%,Block_Invasion,Block_Pt,,,,,,,,,,,
2024/2025,SuperLega,Regular_Season,1st,1,-,1,29/9/2024,17:30,3964 ,€ 31822 ,C,Sir Susa Vim Perugia,Perugia,3,0,8,3,16,12,21,16,29,27,7,8,16,13,21,17,25,22,8,4,16,14,21,18,25,21,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,61,24,8,77,21,7,56,1,0.61 ,0.32 ,82,9,8,41,0.50 ,-,13,,,,,,,,,,,
2024/2025,SuperLega,Regular_Season,1st,1,-,1,29/9/2024,17:30,3964 ,€ 31822 ,O,Rana Verona,Verona,0,3,3,8,12,16,16,21,27,29,8,7,13,16,17,21,22,25,4,8,14,16,18,21,21,25,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,37,10,-14,72,16,1,56,7,0.38 ,0.20 ,73,1,13,28,0.38 ,-,8,,,,,,,,,,,
2024/2025,SuperLega,Regular_Season,1st,1,-,2,29/9/2024,16:00,2362 ,€ 23270 ,C,Gas Sales Bluenergy Piacenza,Piacenza,3,1,8,5,16,13,21,16,25,18,8,7,13,16,19,21,21,25,8,7,16,15,21,19,25,23,3,8,14,16,21,20,25,23,-,-,-,-,-,-,-,-,66,23,4,95,18,8,70,5,0.47 ,0.20 ,91,6,9,51,0.56 ,-,7,,,,,,,,,,,
2024/2025,SuperLega,Regular_Season,1st,1,-,2,29/9/2024,16:00,2362 ,€ 23270 ,O,Valsa Group Modena,Modena,1,3,5,8,13,16,16,21,18,25,7,8,16,13,21,19,25,21,7,8,15,16,19,21,23,25,8,3,16,14,20,21,23,25,-,-,-,-,-,-,-,-,61,19,-3,90,20,4,77,8,0.43 ,0.26 ,101,9,7,48,0.48 ,-,9,,,,,,,,,,,
2024/2025,SuperLega,Regular_Season,1st,1,-,3,28/9/2024,20:30,2515 ,€ 16328 ,C,Cucine Lube Civitanova,Lube,3,1,8,6,16,15,21,17,25,22,5,8,13,16,17,21,22,25,4,8,13,16,21,19,26,24,8,6,16,10,21,14,25,17,-,-,-,-,-,-,-,-,69,21,12,97,19,5,72,3,0.50 ,0.31 ,113,9,6,56,0.50 ,-,8,,,,,,,,,,,
2024/2025,SuperLega,Regular_Season,1st,1,-,3,28/9/2024,20:30,2515 ,€ 16328 ,O,Sonepar Padova,Padova,1,3,6,8,15,16,17,21,22,25,8,5,16,13,21,17,25,22,8,4,16,13,19,21,24,26,6,8,10,16,14,21,17,25,-,-,-,-,-,-,-,-,57,14,-1,89,17,3,78,5,0.49 ,0.28 ,108,10,8,48,0.44 ,-,6,,,,,,,,,,,
2024/2025,SuperLega,Regular_Season,1st,1,-,4,29/9/2024,18:00,2418 ,€ 18083 ,C,Cisterna Volley,Cisterna,1,3,7,8,15,16,21,20,25,22,6,8,14,16,18,21,23,25,7,8,15,16,21,20,25,27,2,8,11,16,15,21,16,25,-,-,-,-,-,-,-,-,63,14,14,90,20,1,78,2,0.58 ,0.32 ,112,9,3,57,0.51 ,-,5,,,,,,,,,,,
2024/2025,SuperLega,Regular_Season,1st,1,-,4,29/9/2024,18:00,2418 ,€ 18083 ,O,Itas Trentino,Trento,3,1,8,7,16,15,20,21,22,25,8,6,16,14,21,18,25,23,8,7,16,15,20,21,27,25,8,2,16,11,21,15,25,16,-,-,-,-,-,-,-,-,67,16,8,98,20,2,70,1,0.54 ,0.29 ,110,5,5,62,0.56 ,-,3,,,,,,,,,,,
2024/2025,SuperLega,Regular_Season,1st,1,-,5,29/9/2024,17:00,1660 ,€ 13363 ,C,Gioiella Prisma Taranto,Taranto,3,0,6,8,16,15,21,19,25,21,6,8,16,12,21,19,25,20,8,4,16,13,21,15,25,19,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,58,24,20,73,13,6,50,4,0.36 ,0.16 ,80,6,2,44,0.55 ,-,8,,,,,,,,,,,
2024/2025,SuperLega,Regular_Season,1st,1,-,5,29/9/2024,17:00,1660 ,€ 13363 ,O,Allianz Milano,Milano,0,3,8,6,15,16,19,21,21,25,8,6,12,16,19,21,20,25,4,8,13,16,15,21,19,25,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,40,10,-6,62,12,3,60,6,0.45 ,0.28 ,77,5,8,35,0.45 ,-,2,,,,,,,,,,,
