Season,Division,Championship,Phase,Day,Game,Match No,DMY,Time,Spettatori,Incasso,Casa/Ospite,Team,Club,Set Won,Set Lost,Set1_Point_Won_Part1,Set1_Point_Won_Part2,Set1_Point_Won_Part3,Set1_Point_Won,Set1_Point_Lost_Part1,Set1_Point_Lost_Part2,Set1_Point_Lost_Part3,Set1_Point_Lost,Set2_Point_Won_Part1,Set2_Point_Won_Part2,Set2_Point_Won_Part3,Set2_Point_Won,Set2_Point_Lost_Part1,Set2_Point_Lost_Part2,Set2_Point_Lost_Part3,Set2_Point_Lost,Set3_Point_Won_Part1,Set3_Point_Won_Part2,Set3_Point_Won_Part3,Set3_Point_Won,Set3_Point_Lost_Part1,Set3_Point_Lost_Part2,Set3_Point_Lost_Part3,Set3_Point_Lost,Set4_Point_Won_Part1,Set4_Point_Won_Part2,Set4_Point_Won_Part3,Set4_Point_Won,Set4_Point_Lost_Part1,Set4_Point_Lost_Part2,Set4_Point_Lost_Part3,Set4_Point_Lost,Set5_Point_Won_Part1,Set5_Point_Won_Part2,Set5_Point_Won_Part3,Set5_Point_Won,Set5_Point_Lost_Part1,Set5_Point_Lost_Part2,Set5_Point_Lost_Part3,Set5_Point_Lost,Point_Tot,Point_BP,Point_VP,Service_N,Service_Err,Service_Pt,Reception_N,Reception_Err,Reception_Pos%,Reception_Prf%,Spike_N,Spike_Err,Spike_Blocked,Spike_Pt,Spike_Pt%,Block_Invasion,Block_Pt
2024/2025,A1,Regular_Season,1st,1,-,3004,5/10/2024 ,20:30 ,2315,-,C,Savino Del Bene Scandicci,-,3,0,8,5,16,12,21,17,25,18,8,7,16,12,21,17,25,18,6,8,16,12,20,21,26,24,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,51,24,33,74,5,6,48,4,48%,17%,89,3,6,35,39%,10,
2024/2025,A1,Regular_Season,1st,1,-,3004,5/10/2024 ,20:30 ,2315,-,O,Honda Olivero Cuneo,-,0,3,5,8,12,16,17,21,18,25,7,8,12,16,17,21,18,25,8,6,12,16,21,20,24,26,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,50,17,8,62,13,3,69,9,32%,19%,106,10,10,41,39%,6,
2024/2025,A1,Regular_Season,1st,1,-,3001,6/10/2024 ,16:30 ,15,-,C,Wash4green Pinerolo,-,1,3,6,8,15,16,20,21,40,38,8,6,16,15,17,21,20,25,3,8,9,16,17,21,21,25,8,5,16,15,20,21,20,25,-,-,-,-,-,-,-,-,79,28,28,102,15,4,98,6,52%,32%,174,18,12,67,39%,8,
2024/2025,A1,Regular_Season,1st,1,-,3001,6/10/2024 ,16:30 ,15,-,O,Numia Vero Volley Milano,-,3,1,8,6,16,15,21,20,38,40,6,8,15,16,21,17,25,20,8,3,16,9,21,17,25,21,5,8,15,16,21,20,25,20,-,-,-,-,-,-,-,-,78,29,37,112,14,4,87,10,59%,32%,153,9,8,62,41%,12,
2024/2025,A1,Regular_Season,1st,1,-,3005,6/10/2024 ,17:00 ,565,-,C,Il Bisonte Firenze,-,3,2,8,6,14,16,20,21,27,25,2,8,10,16,15,21,21,25,5,8,10,16,12,21,19,25,5,8,16,14,21,18,27,25,5,3,10,9,12,9,15,12,79,33,37,109,11,4,94,11,60%,30%,159,15,5,60,38%,15,
2024/2025,A1,Regular_Season,1st,1,-,3005,6/10/2024 ,17:00 ,565,-,O,Megabox Ond. Savio Vallefoglia,-,2,3,6,8,16,14,21,20,25,27,8,2,16,10,21,15,25,21,8,5,16,10,21,12,25,19,8,5,14,16,18,21,25,27,3,5,9,10,9,12,12,15,82,36,32,112,18,8,98,6,59%,29%,179,11,15,69,39%,5,
2024/2025,A1,Regular_Season,1st,1,-,3006,6/10/2024 ,17:00 ,1635,-,C,Bartoccini-Mc Restauri Perugia,-,0,3,8,7,15,16,20,21,22,25,8,6,16,15,20,21,23,25,8,6,14,16,16,21,19,25,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,44,15,6,65,14,2,63,10,43%,33%,85,6,7,36,42%,6,
2024/2025,A1,Regular_Season,1st,1,-,3006,6/10/2024 ,17:00 ,1635,-,O,Bergamo,-,3,0,7,8,16,15,21,20,25,22,6,8,15,16,21,20,25,23,6,8,16,14,21,16,25,19,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,53,28,26,74,11,5,51,2,39%,29%,95,8,6,41,43%,7,
2024/2025,A1,Regular_Season,1st,1,-,3007,6/10/2024 ,17:00 ,118,-,C,Smi Roma Volley,-,3,1,6,8,14,16,19,21,26,28,7,8,14,16,21,19,30,28,8,2,16,11,21,17,25,20,8,3,16,11,21,15,25,19,-,-,-,-,-,-,-,-,78,37,45,104,8,5,84,7,55%,43%,177,9,9,60,34%,13,
2024/2025,A1,Regular_Season,1st,1,-,3007,6/10/2024 ,17:00 ,118,-,O,Cda Volley Talmassons Fvg,-,1,3,8,6,16,14,21,19,28,26,8,7,16,14,19,21,28,30,2,8,11,16,17,21,20,25,3,8,11,16,15,21,19,25,-,-,-,-,-,-,-,-,75,29,27,96,12,6,96,7,48%,25%,186,14,13,60,32%,9,
2024/2025,A1,Regular_Season,1st,1,-,3003,6/10/2024 ,17:30 ,1508,-,C,Reale Mutua Fenera Chieri '76,-,3,2,8,3,16,9,21,11,25,22,5,8,10,16,15,21,16,25,7,8,16,15,21,19,25,22,4,8,9,16,15,21,15,25,5,4,10,5,12,7,15,11,63,22,20,95,11,4,93,12,70%,40%,149,14,6,50,34%,9,
2024/2025,A1,Regular_Season,1st,1,-,3003,6/10/2024 ,17:30 ,1508,-,O,Igor Gorgonzola Novara,-,2,3,3,8,9,16,11,21,22,25,8,5,16,10,21,15,25,16,8,7,15,16,19,21,22,25,8,4,16,9,21,15,25,15,4,5,5,10,7,12,11,15,80,35,33,105,12,7,84,7,67%,35%,149,19,9,67,45%,6,
2024/2025,A1,Regular_Season,1st,1,-,3002,6/10/2024 ,18:00 ,473,-,C,Prosecco Doc Imoco Conegliano,-,3,0,8,5,16,10,21,12,25,15,6,8,14,16,21,20,25,22,7,8,16,10,21,12,25,14,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,48,24,31,73,8,6,47,4,57%,21%,85,3,2,37,44%,5,
2024/2025,A1,Regular_Season,1st,1,-,3002,6/10/2024 ,18:00 ,473,-,O,Eurotek Uyba Busto Arsizio,-,0,3,5,8,10,16,12,21,15,25,8,6,16,14,20,21,22,25,8,7,10,16,12,21,14,25,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,40,13,3,53,6,3,65,10,42%,29%,98,16,5,35,36%,2,
2024/2025,A1,Regular_Season,1st,2,-,3014,12/10/2024 ,20:30 ,4834,-,C,Numia Vero Volley Milano,-,3,0,8,6,16,9,21,18,25,19,8,7,16,13,21,18,25,18,8,3,16,9,21,14,25,15,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,61,26,40,73,12,4,48,2,69%,48%,103,2,5,52,50%,5,
2024/2025,A1,Regular_Season,1st,2,-,3014,12/10/2024 ,20:30 ,4834,-,O,Smi Roma Volley,-,0,3,6,8,9,16,18,21,19,25,7,8,13,16,18,21,18,25,3,8,9,16,14,21,15,25,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,38,9,14,54,6,.,61,7,59%,41%,100,6,5,33,33%,5,
2024/2025,A1,Regular_Season,1st,2,-,3008,13/10/2024 ,16:30 ,25,-,C,Igor Gorgonzola Novara,-,3,0,8,7,15,16,21,18,25,23,5,8,12,16,16,21,25,22,6,8,14,16,20,21,25,21,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,55,26,28,74,7,3,60,10,55%,33%,111,5,5,42,38%,10,
2024/2025,A1,Regular_Season,1st,2,-,3008,13/10/2024 ,16:30 ,25,-,O,Wash4green Pinerolo,-,0,3,7,8,16,15,18,21,23,25,8,5,16,12,21,16,22,25,8,6,16,14,21,20,21,25,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,52,20,21,67,7,2,67,7,49%,21%,128,7,10,45,35%,5,
2024/2025,A1,Regular_Season,1st,2,-,3009,13/10/2024 ,17:00 ,1861,-,C,Cda Volley Talmassons Fvg,-,0,3,8,5,16,15,20,21,23,25,6,8,15,16,18,21,20,25,4,8,11,16,14,21,18,25,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,45,14,14,62,6,5,67,6,66%,55%,110,10,9,33,30%,7,
2024/2025,A1,Regular_Season,1st,2,-,3009,13/10/2024 ,17:00 ,1861,-,O,Prosecco Doc Imoco Conegliano,-,3,0,5,8,15,16,21,20,25,23,8,6,16,15,21,18,25,20,8,4,16,11,21,14,25,18,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,56,24,27,74,7,6,56,6,68%,57%,108,9,7,41,38%,9,
2024/2025,A1,Regular_Season,1st,2,-,3010,13/10/2024 ,17:00 ,1015,-,C,Honda Olivero Cuneo,-,0,3,6,8,13,16,19,21,21,25,6,8,15,16,19,21,26,28,8,7,12,16,16,21,18,25,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,53,18,22,67,3,3,68,12,53%,21%,105,7,9,43,41%,7,
2024/2025,A1,Regular_Season,1st,2,-,3010,13/10/2024 ,17:00 ,1015,-,O,Reale Mutua Fenera Chieri '76,-,3,0,8,6,16,13,21,19,25,21,8,6,16,15,21,19,28,26,7,8,16,12,21,16,25,18,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,68,29,41,76,8,6,64,8,48%,33%,117,4,7,54,46%,8,
2024/2025,A1,Regular_Season,1st,2,-,3012,13/10/2024 ,17:00 ,1905,-,C,Bartoccini-Mc Restauri Perugia,-,2,3,3,8,10,16,11,21,12,25,8,5,16,10,21,15,25,19,4,8,15,16,21,19,30,32,7,8,16,13,21,14,25,15,5,4,10,9,10,12,17,19,80,31,30,107,14,4,98,13,54%,32%,160,10,12,63,39%,13,
2024/2025,A1,Regular_Season,1st,2,-,3012,13/10/2024 ,17:00 ,1905,-,O,Megabox Ond. Savio Vallefoglia,-,3,2,8,3,16,10,21,11,25,12,5,8,10,16,15,21,19,25,8,4,16,15,19,21,32,30,8,7,13,16,14,21,15,25,4,5,9,10,12,10,19,17,83,40,32,109,11,11,93,13,55%,32%,149,14,13,60,40%,12,
2024/2025,A1,Regular_Season,1st,2,-,3013,13/10/2024 ,17:00 ,18,-,C,Eurotek Uyba Busto Arsizio,-,1,3,5,8,10,16,13,21,16,25,8,5,16,10,21,12,25,18,5,8,16,15,18,21,23,25,5,8,9,16,15,21,17,25,-,-,-,-,-,-,-,-,58,20,16,82,10,9,82,8,52%,26%,135,13,11,43,32%,6,
2024/2025,A1,Regular_Season,1st,2,-,3013,13/10/2024 ,17:00 ,18,-,O,Bergamo,-,3,1,8,5,16,10,21,13,25,16,5,8,10,16,12,21,18,25,8,5,15,16,21,18,25,23,8,5,16,9,21,15,25,17,-,-,-,-,-,-,-,-,70,25,31,92,10,5,72,10,51%,24%,128,13,6,54,42%,11,
2024/2025,A1,Regular_Season,1st,2,-,3011,13/10/2024 ,18:00 ,1592,-,C,Il Bisonte Firenze,-,0,3,2,8,9,16,15,21,22,25,6,8,12,16,14,21,22,25,8,5,13,16,18,21,23,25,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,56,22,19,68,8,2,68,7,65%,21%,115,12,10,46,40%,8,
2024/2025,A1,Regular_Season,1st,2,-,3011,13/10/2024 ,18:00 ,1592,-,O,Savino Del Bene Scandicci,-,3,0,8,2,16,9,21,15,25,22,8,6,16,12,21,14,25,22,5,8,16,13,21,18,25,23,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,52,20,29,74,6,4,60,5,55%,22%,100,4,8,38,38%,10,
2024/2025,A1,Regular_Season,1st,3,-,3015,19/10/2024 ,18:00 ,13,-,C,Wash4green Pinerolo,-,3,1,8,4,16,15,21,19,25,23,8,5,15,16,18,21,19,25,7,8,16,13,21,17,25,18,8,5,16,14,21,18,25,23,-,-,-,-,-,-,-,-,72,21,45,93,8,4,81,5,49%,21%,150,11,3,59,39%,9,
2024/2025,A1,Regular_Season,1st,3,-,3015,19/10/2024 ,18:00 ,13,-,O,Honda Olivero Cuneo,-,1,3,4,8,15,16,19,21,23,25,5,8,16,15,21,18,25,19,8,7,13,16,17,21,18,25,5,8,14,16,18,21,23,25,-,-,-,-,-,-,-,-,68,20,31,90,9,1,85,7,52%,25%,153,12,9,64,42%,3,
2024/2025,A1,Regular_Season,1st,3,-,3017,20/10/2024 ,16:00 ,4649,-,C,Numia Vero Volley Milano,-,2,3,5,8,10,16,17,21,21,25,8,6,16,15,20,21,32,30,8,7,15,16,17,21,22,25,8,6,16,14,21,16,31,29,5,4,8,10,10,12,12,15,82,25,25,118,23,4,107,9,56%,38%,163,12,13,64,39%,14,
