Season,Division,Championship,Phase,Day,Game,Match No,DMY,Time,Spettatori,Incasso,Casa/Ospite,Team,Club,P.No,Name,Libero,C,Voto,Set1,Set2,Set3,Set4,Set5,Point_Tot,Point_BP,Point_VP,Service_N,Service_Err,Service_Pt,Reception_N,Reception_Err,Reception_Pos%,Reception_Prf%,Spike_N,Spike_Err,Spike_Blocked,Spike_Pt,Spike_Pt%,Block_Invasion,Block_Pt,,,,,,,,
2025/2026,SuperLega,Regular_Season,1st,1,,1,20/10/2025 ,20:30 ,3.052 ,€ 31.519 ,C,Cucine Lube Civitanova ,Lube,2,D'Heer Wout,-,-,-,5,5,5 ,4,-,4,1,-4,11,6,1,-,-,-,-,3,-,-,3,1.00 ,-,-,,,,,,,,
2025/2026,SuperLega,Regular_Season,1st,1,,1,20/10/2025 ,20:30 ,3.052 ,€ 31.519 ,C,Cucine Lube Civitanova ,Lube,3,Gargiulo Giovanni Maria,-,-,-,2,2,2 ,1,-,11,5,-,18,3,1,-,-,-,-,10,-,1,7,0.70 ,-,3,,,,,,,,
2025/2026,SuperLega,Regular_Season,1st,1,,1,20/10/2025 ,20:30 ,3.052 ,€ 31.519 ,C,Cucine Lube Civitanova ,Lube,4,Loeppky Eric,-,-,-,3,3,3 ,2,-,13,5,8,14,5,1,10,-,0.50 ,0.30 ,20,-,-,11,0.55 ,-,1,,,,,,,,
2025/2026,SuperLega,Regular_Season,1st,1,,1,20/10/2025 ,20:30 ,3.052 ,€ 31.519 ,C,Cucine Lube Civitanova ,Lube,5,Orduna Santiago,-,-,-,-,-,*,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,
2025/2026,SuperLega,Regular_Season,1st,1,,1,20/10/2025 ,20:30 ,3.052 ,€ 31.519 ,C,Cucine Lube Civitanova ,Lube,6,Bisotto Francesco,L,-,-,-,-,*,*,-,-,-,-,-,-,-,8,-,0.50 ,0.50 ,-,-,-,-,-,-,-,,,,,,,,
2025/2026,SuperLega,Regular_Season,1st,1,,1,20/10/2025 ,20:30 ,3.052 ,€ 31.519 ,C,Cucine Lube Civitanova ,Lube,7,Balaso Fabio,L,-,-,*,*,*,-,-,-,-,-2,-,-,-,11,2,0.27 ,0.09 ,-,-,-,-,-,-,-,,,,,,,,
2025/2026,SuperLega,Regular_Season,1st,1,,1,20/10/2025 ,20:30 ,3.052 ,€ 31.519 ,C,Cucine Lube Civitanova ,Lube,8,Boninfante Mattia,-,-,-,6,6,6 ,5,-,2,1,-3,16,3,1,-,-,-,-,1,-,-,1,1.00 ,-,-,,,,,,,,
2025/2026,SuperLega,Regular_Season,1st,1,,1,20/10/2025 ,20:30 ,3.052 ,€ 31.519 ,C,Cucine Lube Civitanova ,Lube,9,Hossein Khanzadeh Poriya,-,-,-,*,-,*,*,-,1,1,-1,3,2,1,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,
2025/2026,SuperLega,Regular_Season,1st,1,,1,20/10/2025 ,20:30 ,3.052 ,€ 31.519 ,C,Cucine Lube Civitanova ,Lube,11,Nikolov Aleksandar,-,-,-,4,4,4 ,3,-,30,12,16,16,5,4,11,1,0.45 ,0.09 ,38,3,3,25,0.66 ,-,1,,,,,,,,
2025/2026,SuperLega,Regular_Season,1st,1,,1,20/10/2025 ,20:30 ,3.052 ,€ 31.519 ,C,Cucine Lube Civitanova ,Lube,16,Kukartsev Pablo,-,-,-,-,-,*,-,-,1,-,1,-,-,-,-,-,-,-,2,-,-,1,0.50 ,-,-,,,,,,,,
