Season,Division,Championship,Phase,Day,Match No,DMY,Time,Spettatori,Incasso,Casa/Ospite,Team,Club,Set Won,Set Lost,Set1_Point_Won_Part1,Set1_Point_Won_Part2,Set1_Point_Won_Part3,Set1_Point_Won,Set1_Point_Lost_Part1,Set1_Point_Lost_Part2,Set1_Point_Lost_Part3,Set1_Point_Lost,Set2_Point_Won_Part1,Set2_Point_Won_Part2,Set2_Point_Won_Part3,Set2_Point_Won,Set2_Point_Lost_Part1,Set2_Point_Lost_Part2,Set2_Point_Lost_Part3,Set2_Point_Lost,Set3_Point_Won_Part1,Set3_Point_Won_Part2,Set3_Point_Won_Part3,Set3_Point_Won,Set3_Point_Lost_Part1,Set3_Point_Lost_Part2,Set3_Point_Lost_Part3,Set3_Point_Lost,Set4_Point_Won_Part1,Set4_Point_Won_Part2,Set4_Point_Won_Part3,Set4_Point_Won,Set4_Point_Lost_Part1,Set4_Point_Lost_Part2,Set4_Point_Lost_Part3,Set4_Point_Lost,Set5_Point_Won_Part1,Set5_Point_Won_Part2,Set5_Point_Won_Part3,Set5_Point_Won,Set5_Point_Lost_Part1,Set5_Point_Lost_Part2,Set5_Point_Lost_Part3,Set5_Point_Lost,Point_Tot,Point_BP,Point_VP,Service_N,Service_Err,Service_Pt,Reception_N,Reception_Err,Reception_Pos%,Reception_Prf%,Spike_N,Spike_Err,Spike_Blocked,Spike_Pt,Spike_Pt%,Block_Invasion,Block_Pt,,,,,
2025/2026,SuperLega,Regular_Season,1st,1,1,20/10/2025 ,20:30 ,3.052 ,€ 31.519 ,C,Cucine Lube Civitanova ,Lube,3,1,8,5,16,12,21,14,25,15,8,5,16,11,21,13,25,16,6,8,12,16,18,21,23,25,8,4,16,12,21,17,25,23,-,-,-,-,-,-,-,-,73,32,16,97,28,12,61,3,0.52,0.33,90,4,7,55,0.61,-,6,,,,Abba Pineto ,Pineto
2025/2026,SuperLega,Regular_Season,1st,1,1,20/10/2025 ,20:30 ,3.052 ,€ 31.519 ,O,Yuasa Battery Grottazzolina ,Grottazzolina,1,3,5,8,12,16,14,21,15,25,5,8,11,16,13,21,16,25,8,6,16,12,21,18,25,23,4,8,12,16,17,21,23,25,-,-,-,-,-,-,-,-,45,16,-19,80,19,3,69,14,0.3,0.17,79,6,6,35,0.44,-,7,,,,Allianz Milano ,Milano
2025/2026,SuperLega,Regular_Season,1st,1,2,20/10/2025 ,20:30 ,3.292 ,€ 20.514 ,C,Rana Verona ,Verona,3,1,8,7,16,13,21,17,25,22,4,8,10,16,14,21,16,25,8,6,16,13,21,20,29,27,8,7,14,16,21,17,25,20,-,-,-,-,-,-,-,-,71,23,9,94,18,8,79,10,0.41,0.16,94,3,7,55,0.59,-,8,,,,Alva Inox 2 Emme Service Porto Viro ,Porto Viro
2025/2026,SuperLega,Regular_Season,1st,1,2,20/10/2025 ,20:30 ,3.292 ,€ 20.514 ,O,Gas Sales Bluenergy Piacenza ,Piacenza,1,3,7,8,13,16,17,21,22,25,8,4,16,10,21,14,25,16,6,8,13,16,20,21,27,29,7,8,16,14,17,21,20,25,-,-,-,-,-,-,-,-,70,27,10,95,16,8,76,10,0.32,0.16,91,3,8,55,0.6,-,7,,,,Aurispa DFV Lecce ,Alessano Lecce
2025/2026,SuperLega,Regular_Season,1st,1,3,20/10/2025 ,20:00 ,2.913 ,€ 18.130 ,C,Allianz Milano ,Milano,3,2,0,0,0,0,0,0,23,25,3,8,11,16,13,21,17,25,8,3,16,13,20,21,25,22,8,7,16,15,19,21,37,35,3,5,0,0,0,0,15,11,74,33,8,116,16,10,86,6,0.48,0.26,119,4,16,54,0.45,-,10,,,,Avimecc Modica ,Modica
2025/2026,SuperLega,Regular_Season,1st,1,3,20/10/2025 ,20:00 ,2.913 ,€ 18.130 ,O,Valsa Group Modena ,Modena,2,3,0,0,0,0,0,0,25,23,8,3,16,11,21,13,25,17,3,8,13,16,21,20,22,25,7,8,15,16,21,19,35,37,5,3,0,0,0,0,11,15,97,36,12,118,32,5,100,10,0.5,0.22,141,8,10,76,0.54,-,16,,,,Banca Macerata Fisiomed MC ,Macerata
2025/2026,SuperLega,Regular_Season,1st,1,4,21/10/2025 ,20:30 ,2.249 ,€ 23.382 ,C,Cisterna Volley ,Cisterna,0,3,4,8,10,16,14,21,21,25,6,8,13,16,15,21,18,25,6,8,12,16,16,21,19,25,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,36,4,-3,59,15,3,56,6,0.36,0.18,64,7,5,32,0.5,-,1,,,,BCC Tecbus Castellana Grotte ,Castellana Grotte New Mater
2025/2026,SuperLega,Regular_Season,1st,1,4,21/10/2025 ,20:30 ,2.249 ,€ 23.382 ,O,Itas Trentino ,Trento ,3,0,8,4,16,10,21,14,25,21,8,6,16,13,21,15,25,18,8,6,16,12,21,16,25,19,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,53,18,11,74,18,6,44,3,0.5,0.2,60,3,1,42,0.7,-,5,,,,Belluno Volley ,Belluno
2025/2026,SuperLega,Regular_Season,1st,1,5,20/10/2025 ,20:30 ,2.262 ,€ 9.264 ,C,Sonepar Padova ,Padova,3,2,7,8,16,15,19,21,26,24,6,8,14,16,17,21,21,25,8,4,15,16,21,19,25,22,6,8,11,16,14,21,20,25,5,2,0,0,0,0,15,13,69,20,-11,106,25,5,85,8,0.65,0.31,113,8,8,55,0.49,-,9,,,,Campi Reali Cantù ,Cantù
2025/2026,SuperLega,Regular_Season,1st,1,5,20/10/2025 ,20:30 ,2.262 ,€ 9.264 ,O,MA Acqua S.Bernardo Cuneo ,Cuneo,2,3,8,7,15,16,21,19,24,26,8,6,16,14,21,17,25,21,4,8,16,15,19,21,22,25,8,6,16,11,21,14,25,20,2,5,0,0,0,0,13,15,76,26,2,110,25,7,81,6,0.57,0.2,116,9,9,61,0.53,-,8,,,,Cisterna Volley ,Cisterna
