Division,Season,Team,Club,No,Player,Role,Born,Height,Born Place,Nat. Sport.,Note1,Note2
SuperLega,2025/2026,Allianz Milano,Milano,3,RECINE Francesco,Spiker,1999,185,RA,ITA,-,-
SuperLega,2025/2026,Allianz Milano,Milano,4,ICHINO Tommaso,Spiker,2004,202,TO,ITA,-,-
SuperLega,2025/2026,Allianz Milano,Milano,5,CATANIA Damiano,Libero,2001,180,CT,ITA,-,-
SuperLega,2025/2026,Allianz Milano,Milano,6,MASAJEDI Karen,Spiker,2007,205,JPN,JPN,from 22/12/2025,-
SuperLega,2025/2026,Allianz Milano,Milano,7,REGGERS Ferre,Diagonto,2003,203,BEL,BEL,-,-
SuperLega,2025/2026,Allianz Milano,Milano,8,MASULOVIC Nemanja,Middleblocker,1995,205,SRB,SRB,from 25/08/2025,-
SuperLega,2025/2026,Allianz Milano,Milano,9,BARBANTI Leonardo,Setter,2006,185,MO,ITA,-,-
SuperLega,2025/2026,Allianz Milano,Milano,10,LINDQVIST Veikka,Diagonto,2003,205,FIN,FIN,-,-
SuperLega,2025/2026,Allianz Milano,Milano,12,ROTTY Seppe,Spiker,2001,190,BEL,BEL,-,-
SuperLega,2025/2026,Allianz Milano,Milano,13,BENACCHIO Alessandro,Middleblocker,2007,201,VI,ITA,-,-
SuperLega,2025/2026,Allianz Milano,Milano,14,KRELING Fernando,Setter,1996,185,BRA,BRA,-,-
SuperLega,2025/2026,Allianz Milano,Milano,15,OTSUKA Tatsunori,Spiker,2000,195,JPN,JPN,-,-
SuperLega,2025/2026,Allianz Milano,Milano,16,DI MARTINO Gabriele,Middleblocker,1997,199,RM,ITA,-,-
SuperLega,2025/2026,Allianz Milano,Milano,17,CORBETTA Jacopo,Libero,2007,180,LC,ITA,from 15/12/2025,-
SuperLega,2025/2026,Allianz Milano,Milano,18,CANESCHI Edoardo,Middleblocker,1997,205,AR,ITA,-,-
SuperLega,2025/2026,Allianz Milano,Milano,2,STAFORINI Matteo,Libero,2003,193,BG,ITA,until 15/12/2025,-
SuperLega,2025/2026,Cisterna Volley,Cisterna,1,CURRIE Landon,Libero,1999,175,CAN,CAN,-,-
SuperLega,2025/2026,Cisterna Volley,Cisterna,4,FINAURI Alessandro,Libero,2004,185,RM,ITA,-,-
SuperLega,2025/2026,Cisterna Volley,Cisterna,7,BAROTTO Tommaso,Diagonto,2005,212,RO,ITA,-,-
SuperLega,2025/2026,Cisterna Volley,Cisterna,8,PLAK Fabian,Middleblocker,1997,198,NED,NED,-,-
SuperLega,2025/2026,Cisterna Volley,Cisterna,9,TARUMI Yuga,Spiker,2000,187,JPN,JPN,-,-
SuperLega,2025/2026,Cisterna Volley,Cisterna,11,FANIZZA Alessandro,Setter,2004,192,BR,ITA,-,-
SuperLega,2025/2026,Cisterna Volley,Cisterna,12,DIAMANTINI Enrico,Middleblocker,1993,204,PU,ITA,-,-
SuperLega,2025/2026,Cisterna Volley,Cisterna,16,SALSI Nicola,Setter,1997,186,RE,ITA,-,-
