Season,Division,Championship,Phase,Day,Game,Match No,DMY,Time,Spettatori,Incasso,Casa/Ospite,Team,Club,P.No,Name,Libero,C,Voto,Set1,Set2,Set3,Set4,Set5,Point_Tot,Point_BP,Point_VP,Service_N,Service_Err,Service_Pt,Reception_N,Reception_Err,Reception_Pos%,Reception_Prf%,Spike_N,Spike_Err,Spike_Blocked,Spike_Pt,Spike_Pt%,Block_Invasion,Block_Pt,
2025/2026,A1,Regular_Season,1st,1,-,3002,6/10/2025 ,20:30 ,1.130 ,-,C,Wash4green Monviso Volley,Pallavolo Pinerolo,1,Bridi Ulrike,-,-,-,-,*,6,3,-,2,1,1,9,1,-,1,-,-,-,3 ,-,-,2,0.67 ,-,-,
2025/2026,A1,Regular_Season,1st,1,-,3002,6/10/2025 ,20:30 ,1.130 ,-,C,Wash4green Monviso Volley,Pallavolo Pinerolo,2,Dodson Anna,-,-,-,5,5,5,2,-,13,6,8,14,3,2,1,-,1.00 ,1.00 ,16 ,1 ,1,8,0.50 ,-,3 ,
2025/2026,A1,Regular_Season,1st,1,-,3002,6/10/2025 ,20:30 ,1.130 ,-,C,Wash4green Monviso Volley,Pallavolo Pinerolo,3,Malual Adhuoljok John Majak,-,-,-,3,3,3,6,-,20,3,7,15,1,-,-,-,-,-,44 ,6 ,6,19,0.43 ,-,1 ,
2025/2026,A1,Regular_Season,1st,1,-,3002,6/10/2025 ,20:30 ,1.130 ,-,C,Wash4green Monviso Volley,Pallavolo Pinerolo,5,Siftar Mija,-,-,-,-,-,*,*,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,
2025/2026,A1,Regular_Season,1st,1,-,3002,6/10/2025 ,20:30 ,1.130 ,-,C,Wash4green Monviso Volley,Pallavolo Pinerolo,6,D'Odorico Sofia,-,-,-,4,4,4,1,-,10,2,-7,11,4,1,28,3,0.43 ,0.14 ,26 ,4 ,6,8,0.31 ,-,1 ,
2025/2026,A1,Regular_Season,1st,1,-,3002,6/10/2025 ,20:30 ,1.130 ,-,C,Wash4green Monviso Volley,Pallavolo Pinerolo,7,Sylves Amandha,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
2025/2026,A1,Regular_Season,1st,1,-,3002,6/10/2025 ,20:30 ,1.130 ,-,C,Wash4green Monviso Volley,Pallavolo Pinerolo,8,Bussoli Silvia,-,C,-,*,*,-,-,-,-,-,-,1,-,-,1,-,-,-,1 ,-,-,-,-,-,-,
2025/2026,A1,Regular_Season,1st,1,-,3002,6/10/2025 ,20:30 ,1.130 ,-,C,Wash4green Monviso Volley,Pallavolo Pinerolo,9,Battistoni Ilaria,-,-,-,6,6,-,-,-,-,-,-,3,-,-,-,-,-,-,-,-,-,-,-,-,-,
2025/2026,A1,Regular_Season,1st,1,-,3002,6/10/2025 ,20:30 ,1.130 ,-,C,Wash4green Monviso Volley,Pallavolo Pinerolo,10,Moro Ilenia,L,-,-,*,*,*,*,-,-,-,-1,-,-,-,24,1,0.92 ,0.50 ,-,-,-,-,-,-,-,
2025/2026,A1,Regular_Season,1st,1,-,3002,6/10/2025 ,20:30 ,1.130 ,-,C,Wash4green Monviso Volley,Pallavolo Pinerolo,12,Harbin Danielle,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
2025/2026,A1,Regular_Season,1st,1,-,3002,6/10/2025 ,20:30 ,1.130 ,-,C,Wash4green Monviso Volley,Pallavolo Pinerolo,15,Scialanca Rebecca,L,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
2025/2026,A1,Regular_Season,1st,1,-,3002,6/10/2025 ,20:30 ,1.130 ,-,C,Wash4green Monviso Volley,Pallavolo Pinerolo,16,Rapello Elena,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
2025/2026,A1,Regular_Season,1st,1,-,3002,6/10/2025 ,20:30 ,1.130 ,-,C,Wash4green Monviso Volley,Pallavolo Pinerolo,18,Akrari Yasmina,-,-,-,2,2,2,5,-,5,2,1,15,3,-,-,-,-,-,11 ,1 ,-,4,0.36 ,-,1 ,
2025/2026,A1,Regular_Season,1st,1,-,3002,6/10/2025 ,20:30 ,1.130 ,-,C,Wash4green Monviso Volley,Pallavolo Pinerolo,21,Davyskiba Anna,-,-,-,1,1,1,4,-,15,3,4,16,2,3,34,3,0.62 ,0.32 ,31 ,3 ,3,12,0.39 ,-,-,
2025/2026,A1,Regular_Season,1st,1,-,3002,6/10/2025 ,20:30 ,1.130 ,-,O,Savino Del Bene Scandicci,Savino Del Bene Scandicci,2,Traballi Gaia,L,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
2025/2026,A1,Regular_Season,1st,1,-,3002,6/10/2025 ,20:30 ,1.130 ,-,O,Savino Del Bene Scandicci,Savino Del Bene Scandicci,3,Bechis Marta,-,-,-,-,-,-,*,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,
2025/2026,A1,Regular_Season,1st,1,-,3002,6/10/2025 ,20:30 ,1.130 ,-,O,Savino Del Bene Scandicci,Savino Del Bene Scandicci,4,Skinner Avery,-,-,-,1,1,4,4,-,14,4,7,12,1,-,23,3,0.48 ,0.30 ,27 ,1 ,2,12,0.44 ,-,2 ,
2025/2026,A1,Regular_Season,1st,1,-,3002,6/10/2025 ,20:30 ,1.130 ,-,O,Savino Del Bene Scandicci,Savino Del Bene Scandicci,5,Castillo Brenda,L,-,-,*,*,*,*,-,-,-,-3,-,-,-,18,3,0.61 ,0.56 ,-,-,-,-,-,-,-,
2025/2026,A1,Regular_Season,1st,1,-,3002,6/10/2025 ,20:30 ,1.130 ,-,O,Savino Del Bene Scandicci,Savino Del Bene Scandicci,6,Ruddins Lindsey Ora,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
2025/2026,A1,Regular_Season,1st,1,-,3002,6/10/2025 ,20:30 ,1.130 ,-,O,Savino Del Bene Scandicci,Savino Del Bene Scandicci,7,Franklin Sarah,-,-,-,-,*,-,-,-,-,-,-,-,-,-,1,-,1.00 ,-,2 ,-,-,-,-,-,-,
2025/2026,A1,Regular_Season,1st,1,-,3002,6/10/2025 ,20:30 ,1.130 ,-,O,Savino Del Bene Scandicci,Savino Del Bene Scandicci,8,Ribechi Manuela,-,-,-,*,*,*,*,-,-,-,-,8,-,-,2,-,1.00 ,0.50 ,-,-,-,-,-,-,-,
2025/2026,A1,Regular_Season,1st,1,-,3002,6/10/2025 ,20:30 ,1.130 ,-,O,Savino Del Bene Scandicci,Savino Del Bene Scandicci,9,Bosetti Caterina,-,-,-,4,4,1,1,-,4,1,-4,18,1,-,27,5,0.48 ,0.26 ,10 ,-,2,3,0.30 ,-,1 ,
