Division,Season,Team,Club,No,Player,Role,Nationality,Height,Birth year,,,
A1,2025/2026,Bartoccini-Mc Restauri Perugia,Bartoccini Perugia,1,Aliz Kump,Centrale,HUN,185,2003,,,
A1,2025/2026,Bartoccini-Mc Restauri Perugia,Bartoccini Perugia,2,Sofia Turlà,Palleggiatrice,ITA,178,1998,,,
A1,2025/2026,Bartoccini-Mc Restauri Perugia,Bartoccini Perugia,3,Elena Perinelli,Schiacciatrice,ITA,181,1995,,,
A1,2025/2026,Bartoccini-Mc Restauri Perugia,Bartoccini Perugia,4,Nathalie Lemmens,Centrale,BEL,195,1995,,,
A1,2025/2026,Bartoccini-Mc Restauri Perugia,Bartoccini Perugia,5,Imma Sirressi,Libero,ITA,175,1990,,,
A1,2025/2026,Bartoccini-Mc Restauri Perugia,Bartoccini Perugia,9,Nika Markovic,Opposto,SLO,185,1997,,,
A1,2025/2026,Bartoccini-Mc Restauri Perugia,Bartoccini Perugia,10,Stefania Recchia,Libero,ITA,162,2005,,,
A1,2025/2026,Bartoccini-Mc Restauri Perugia,Bartoccini Perugia,11,Benedetta Bartolini,Centrale,ITA,184,1999,,,
A1,2025/2026,Bartoccini-Mc Restauri Perugia,Bartoccini Perugia,12,Alessia Mazzaro,Centrale,ITA,185,1998,,,
A1,2025/2026,Bartoccini-Mc Restauri Perugia,Bartoccini Perugia,13,Giulia Gennari,Palleggiatrice,ITA,184,1996,,,
A1,2025/2026,Bartoccini-Mc Restauri Perugia,Bartoccini Perugia,14,Alessia Fiesoli,Schiacciatrice,ITA,185,1994,,,
A1,2025/2026,Bartoccini-Mc Restauri Perugia,Bartoccini Perugia,16,Beatrice Gardini,Schiacciatrice,ITA,184,2003,,,
A1,2025/2026,Bergamo,Volley Bergamo 1991,1,Roberta Carraro,Palleggiatrice,ITA,181,1998,,,
A1,2025/2026,Bergamo,Volley Bergamo 1992,2,Chidera Blessing Eze,Palleggiatrice,ITA,181,2003,,,
A1,2025/2026,Bergamo,Volley Bergamo 1993,3,Alessia Bolzonetti,Schiacciatrice,ITA,187,2002,,,
A1,2025/2026,Bergamo,Volley Bergamo 1994,5,Kendall Kipp,Opposto,USA,196,2000,,,
A1,2025/2026,Bergamo,Volley Bergamo 1995,6,Federica Ferrario,Libero,ITA,162,2001,,,
A1,2025/2026,Bergamo,Volley Bergamo 1996,7,Jennifer Mosser,Schiacciatrice,USA,182,1998,,,
A1,2025/2026,Bergamo,Volley Bergamo 1997,8,Monique Strubbe,Centrale,GER,189,2001,,,
A1,2025/2026,Bergamo,Volley Bergamo 1998,9,Aurora Micheletti,Centrale,ITA,190,2005,,,
A1,2025/2026,Bergamo,Volley Bergamo 1999,10,Martina Armini,Libero,ITA,175,2002,,,
A1,2025/2026,Bergamo,Volley Bergamo 2000,13,Emilia Weske,Opposto,GER,188,2001,,,
A1,2025/2026,Bergamo,Volley Bergamo 2001,15,Linda Manfredini,Centrale,ITA,186,2006,,,
A1,2025/2026,Bergamo,Volley Bergamo 2002,16,Michaela Mlejnkova,Schiacciatrice,CZE,185,1996,,,
A1,2025/2026,Bergamo,Volley Bergamo 2003,17,Denise Meli,Centrale,ITA,183,2001,,,
A1,2025/2026,Bergamo,Volley Bergamo 2004,26,Ailama Cese Montalvo,Schiacciatrice,CUB,190,2000,,,
A1,2025/2026,Cbf Balducci Hr Macerata,Helvia Recina Volley Macerata,1,Giulia Bresciani,Libero,ITA,165,1992,,,
A1,2025/2026,Cbf Balducci Hr Macerata,Helvia Recina Volley Macerata,3,Ilaria Batte,Palleggiatrice,ITA,185,2005,,,
A1,2025/2026,Cbf Balducci Hr Macerata,Helvia Recina Volley Macerata,4,Ludovica Sismondi,Centrale,ITA,191,2007,,,
A1,2025/2026,Cbf Balducci Hr Macerata,Helvia Recina Volley Macerata,6,Isidora Kockarevic,Schiacciatrice,SRB,185,2002,,,
A1,2025/2026,Cbf Balducci Hr Macerata,Helvia Recina Volley Macerata,7,Asia Bonelli,Palleggiatrice,ITA,181,2000,,,
A1,2025/2026,Cbf Balducci Hr Macerata,Helvia Recina Volley Macerata,8,Alessia Mazzon,Centrale,ITA,184,1998,,,
A1,2025/2026,Cbf Balducci Hr Macerata,Helvia Recina Volley Macerata,9,Nicole Piomboni,Schiacciatrice,ITA,182,2005,,,
A1,2025/2026,Cbf Balducci Hr Macerata,Helvia Recina Volley Macerata,10,Natasza Ornoch,Schiacciatrice,POL,189,2007,,,Pallavolo Pinerolo
A1,2025/2026,Cbf Balducci Hr Macerata,Helvia Recina Volley Macerata,14,Giorgia Caforio,Libero,ITA,168,1994,,,
A1,2025/2026,Cbf Balducci Hr Macerata,Helvia Recina Volley Macerata,16,Emma Scarlett Clothier,Centrale,USA,188,2001,,,
