Season	Serie	Team	No	Player	Role	Born	Height	Nat. Sport.	Note
2010-2011	A1	Asystel Volley Novara	1	PAOLINI LAUREN	Middleblocker	1987	192	USA	
2010-2011	A1	Asystel Volley Novara	3	BECHIS MARTA	Setter	1989	181	ITA	
2010-2011	A1	Asystel Volley Novara	6	BARUN-SUSNJAR KATARINA	Spiker	1983	194	CRO	
2010-2011	A1	Asystel Volley Novara	7	BARCELLINI CRISTINA	Spiker	1986	185	ITA	
2010-2011	A1	Asystel Volley Novara	8	NESOVIC IVANA	Spiker	1988	190	SRB	
2010-2011	A1	Asystel Volley Novara	9	VELJKOVIC STEFANA	Middleblocker	1990	190	SRB	
2010-2011	A1	Asystel Volley Novara	10	ZARDO CAROLINA	Libero	1992	170	ITA	
2010-2011	A1	Asystel Volley Novara	11	SANSONNA STEFANIA	Libero	1982	175	ITA	
2010-2011	A1	Asystel Volley Novara	12	CAMERA LETIZIA	Setter	1992	175	ITA	
2010-2011	A1	Asystel Volley Novara	13	LOMBARDO GILDA	Spiker	1989	180	ITA	
2010-2011	A1	Asystel Volley Novara	17	FOLIE RAPHAELA	Middleblocker	1991	186	ITA	
2010-2011	A1	Asystel Volley Novara	18	HORVATH DORA	Spiker	1988	187	HUN	
2010-2011	A1	Chateau D'Ax Urbino Volley	1	MOLDOVAN ANA BIANCA	Spiker	1985	193	ROM	from 19/12/2010
2010-2011	A1	Chateau D'Ax Urbino Volley	2	BONCIANI FRANCESCA	Setter	1992		ITA	from 12/02/2011
2010-2011	A1	Chateau D'Ax Urbino Volley	3	GARZARO ILARIA	Middleblocker	1986	189	ITA	
2010-2011	A1	Chateau D'Ax Urbino Volley	4	WILSON MAKARE WASA MARY	Middleblocker	1976	188	USA	
2010-2011	A1	Chateau D'Ax Urbino Volley	5	DALIA LUDOVICA	Setter	1984	180	ITA	
2010-2011	A1	Chateau D'Ax Urbino Volley	6	ROANI MANUELA	Spiker	1983	186	ITA	
2010-2011	A1	Chateau D'Ax Urbino Volley	7	PETRAUSKAITE VALDONE	Spiker	1984	181	LTU	
2010-2011	A1	Chateau D'Ax Urbino Volley	8	LEONARDI GIULIA	Libero	1987	165	ITA	
2010-2011	A1	Chateau D'Ax Urbino Volley	9	DI IULIO CHIARA	Spiker	1985	183	ITA	
2010-2011	A1	Chateau D'Ax Urbino Volley	10	JALINE PRADO DE OLIVEIRA	Spiker	1979	190	BRA	
2010-2011	A1	Chateau D'Ax Urbino Volley	13	DI CRESCENZO MANUELA	Setter	1988	182	ITA	until 03/01/2011
2010-2011	A1	Chateau D'Ax Urbino Volley	17	RENATINHA RENATA COLOMBO	Spiker	1981	183	BRA	
2010-2011	A1	Chateau D'Ax Urbino Volley	18	LAPI CHIARA	Middleblocker	1991	180	ITA	
2010-2011	A1	Despar Perugia	1	FATEEVA OLGA	Spiker	1984	190	RUS	until 26/01/2011
2010-2011	A1	Despar Perugia	2	QUARANTA ANNAMARIA	Spiker	1981	184	ITA	
2010-2011	A1	Despar Perugia	4	LEGGERI MANUELA	Middleblocker	1976	186	ITA	
2010-2011	A1	Despar Perugia	5	FARTADE ADELINA	Libero	1993	180	ITA	from 31/01/2011
2010-2011	A1	Despar Perugia	6	LUKOVIC IVANA	Spiker	1992	190	SRB	
2010-2011	A1	Despar Perugia	7	RYKHLIUK OLESIA	Spiker	1987	194	UKR	until 20/01/2011
2010-2011	A1	Despar Perugia	8	SACCO BEATRICE	Libero	1983	169	ITA	
2010-2011	A1	Despar Perugia	9	ARCANGELI CHIARA	Libero	1983	167	ITA	
2010-2011	A1	Despar Perugia	10	RINIERI SIMONA	Spiker	1977	188	ITA	from 12/02/2011
2010-2011	A1	Despar Perugia	10	KRIVETS EKATERINA	Middleblocker	1984	192	RUS	until 26/01/2011
2010-2011	A1	Despar Perugia	11	TOMASSI ELENA	Spiker	1991	173	ITA	from 06/02/2011
2010-2011	A1	Despar Perugia	11	POPOVIC-GAMMA SANJA	Spiker	1984	186	CRO	until 20/01/2011
2010-2011	A1	Despar Perugia	12	ANGELONI VERONICA	Spiker	1986	186	ITA	
2010-2011	A1	Despar Perugia	13	IHNATSIUK KSENIYA	Middleblocker	1989	184	ITA	
2010-2011	A1	Despar Perugia	14	CALLEGARO CINZIA	Setter	1975	175	ITA	
