Season,Division,Team,No,Player,Role,Born,Height,Born Place,Nat. Sport.,Note1,Note2
2010/2011,A1,Acqua Paradiso Monza Brianza,1,CETRULLO Leano,Spiker,1986,198,CH,ITA,-,-
2010/2011,A1,Acqua Paradiso Monza Brianza,2,RAUWERDINK Jeroen,Spiker,1985,199,NED,NED,-,-
2010/2011,A1,Acqua Paradiso Monza Brianza,3,PESENTI Matteo,Spiker,1976,184,BG,ITA,-,-
2010/2011,A1,Acqua Paradiso Monza Brianza,4,KRUMINS Davis,Setter,1990,195,LAT,ITA,-,-
2010/2011,A1,Acqua Paradiso Monza Brianza,7,ZITO Giuseppe,Libero,1989,188,EN,ITA,-,-
2010/2011,A1,Acqua Paradiso Monza Brianza,8,FORNI Marcello,Middleblocker,1980,200,MO,ITA,-,-
2010/2011,A1,Acqua Paradiso Monza Brianza,9,MOLTENI Marco,Spiker,1976,196,BS,ITA,-,-
2010/2011,A1,Acqua Paradiso Monza Brianza,11,BUTI Simone,Middleblocker,1983,208,FI,ITA,-,-
2010/2011,A1,Acqua Paradiso Monza Brianza,12,ROONEY Sean,Spiker,1982,206,USA,USA,-,-
2010/2011,A1,Acqua Paradiso Monza Brianza,13,TRAVICA Dragan,Setter,1986,200,CRO,ITA,-,-
2010/2011,A1,Acqua Paradiso Monza Brianza,15,GAVOTTO Mauro,Spiker,1979,202,CN,ITA,-,-
2010/2011,A1,Acqua Paradiso Monza Brianza,16,SHUMOV Konstantin,Middleblocker,1985,205,RUS,FIN,-,-
2010/2011,A1,Acqua Paradiso Monza Brianza,17,ALBORGHETTI Paolo,Middleblocker,1987,195,BG,ITA,-,-
2010/2011,A1,Acqua Paradiso Monza Brianza,18,EXIGA Jean-Francois,Libero,1982,176,FRA,FRA,-,-
2010/2011,A1,Andreoli Latina,1,KOVACEVIC Nikola,Spiker,1983,193,SRB,SRB,-,-
2010/2011,A1,Andreoli Latina,2,POPELKA Jiri,Spiker,1977,204,CZE,CZE,-,-
2010/2011,A1,Andreoli Latina,3,KOHUT Emanuel,Middleblocker,1982,205,SVK,SVK,-,-
2010/2011,A1,Andreoli Latina,4,GITTO Carmelo,Middleblocker,1987,200,ME,ITA,-,-
2010/2011,A1,Andreoli Latina,5,SOTTILE Daniele,Setter,1979,186,ME,ITA,-,-
2010/2011,A1,Andreoli Latina,6,CORTINA Danilo,Spiker,1987,188,CT,ITA,-,-
2010/2011,A1,Andreoli Latina,9,NONNE Michele,Setter,1988,194,KR,ITA,-,-
2010/2011,A1,Andreoli Latina,11,PIERI Francesco,Libero,1982,185,PO,ITA,-,-
2010/2011,A1,Andreoli Latina,12,SPAIRANI Riccardo,Middleblocker,1978,197,MI,ITA,-,-
2010/2011,A1,Andreoli Latina,13,VUJEVIC Goran,Spiker,1973,192,MNE,MNE,-,-
2010/2011,A1,Andreoli Latina,15,STAROVIC Sasha,Spiker,1988,207,BIH,SRB,-,-
2010/2011,A1,Andreoli Latina,16,LABARDI Lorenzo,Spiker,1990,188,RM,ITA,-,-
2010/2011,A1,Andreoli Latina,17,GIOMBINI Leondino,Spiker,1975,205,AN,ITA,-,-
2010/2011,A1,Bcc-Nep Castellana Grotte,1,MILUSHEV Danail,Spiker,1984,200,BUL,BUL,-,-
2010/2011,A1,Bcc-Nep Castellana Grotte,2,RAK Michal,Middleblocker,1979,205,CZE,CZE,-,-
2010/2011,A1,Bcc-Nep Castellana Grotte,3,PAGANO Carlo Alberto,Spiker,1989,192,BR,ITA,-,-
2010/2011,A1,Bcc-Nep Castellana Grotte,5,COZZI Paolo,Middleblocker,1980,200,MI,ITA,-,-
2010/2011,A1,Bcc-Nep Castellana Grotte,6,GUGLIELMI Francesco,Libero,1972,191,TA,ITA,-,-
2010/2011,A1,Bcc-Nep Castellana Grotte,7,GUERRA Evandro,Spiker,1981,207,BRA,BRA,-,-
2010/2011,A1,Bcc-Nep Castellana Grotte,8,PATRIARCA Stefano,Middleblocker,1987,205,IS,ITA,-,-
2010/2011,A1,Bcc-Nep Castellana Grotte,9,FALASCHI Marco,Setter,1987,187,PI,ITA,-,-
2010/2011,A1,Bcc-Nep Castellana Grotte,10,TORRE Paolo,Setter,1976,201,LU,ITA,-,-
2010/2011,A1,Bcc-Nep Castellana Grotte,11,DVORANEN Robinson,Spiker,1983,201,BRA,BRA,-,-
2010/2011,A1,Bcc-Nep Castellana Grotte,12,RODRIGUEZ Israel,Spiker,1981,194,ESP,ESP,-,-
2010/2011,A1,Bcc-Nep Castellana Grotte,15,GALLOTTA Cosimo,Spiker,1977,195,SA,ITA,-,-
2010/2011,A1,Bcc-Nep Castellana Grotte,18,CICOLA Fosco,Libero,1974,192,RM,ITA,-,-
2010/2011,A1,Bre Banca Lannutti Cuneo,1,MASTRANGELO Luigi,Middleblocker,1975,202,TA,ITA,-,-
2010/2011,A1,Bre Banca Lannutti Cuneo,2,HENNO Hubert,Libero,1976,188,FRA,FRA,-,-
2010/2011,A1,Bre Banca Lannutti Cuneo,3,PARODI Simone,Spiker,1986,195,IM,ITA,-,-
2010/2011,A1,Bre Banca Lannutti Cuneo,4,GALIC Danijel,Spiker,1987,200,BIH,CRO,-,-
2010/2011,A1,Bre Banca Lannutti Cuneo,5,FORTUNATO Francesco,Middleblocker,1977,201,VI,ITA,-,-
2010/2011,A1,Bre Banca Lannutti Cuneo,6,MONTAGNA Samuele,Libero,1989,180,CN,ITA,-,-
2010/2011,A1,Bre Banca Lannutti Cuneo,7,WIJSMANS Wout,Spiker,1977,201,BEL,ITA,-,-
2010/2011,A1,Bre Banca Lannutti Cuneo,8,CARLETTI Bertrand,Setter,1982,206,FRA,FRA,-,-
2010/2011,A1,Bre Banca Lannutti Cuneo,9,GRBIC Nikola,Setter,1973,195,SRB,SRB,-,-
2010/2011,A1,Bre Banca Lannutti Cuneo,10,PEDA Janis,Spiker,1985,198,LAT,LAT,-,-
2010/2011,A1,Bre Banca Lannutti Cuneo,11,NIKOLOV Vladimir,Spiker,1977,200,BUL,BUL,-,-
2010/2011,A1,Bre Banca Lannutti Cuneo,12,PATRIARCA Giuseppe,Spiker,1977,198,FR,ITA,-,-
2010/2011,A1,Bre Banca Lannutti Cuneo,16,DUTTO Francesco,Spiker,1991,197,CN,ITA,-,-
2010/2011,A1,Bre Banca Lannutti Cuneo,18,VOLKOV Alexander,Middleblocker,1985,210,RUS,RUS,-,-
2010/2011,A1,Bre Banca Lannutti Cuneo,18,VOLKOV Alexander,Middleblocker,1985,210,RUS,RUS,-,-
2010/2011,A1,Casa Modena,1,MANIÀ Loris,Libero,1979,190,GO,ITA,-,-
2010/2011,A1,Casa Modena,2,CIABATTINI Edoardo,Libero,1989,180,PI,ITA,-,-
2010/2011,A1,Casa Modena,3,FABRONI Marco,Setter,1981,190,VA,ITA,-,-
2010/2011,A1,Casa Modena,5,KOOISTRA Wytze,Middleblocker,1982,209,NED,NED,-,-
2010/2011,A1,Casa Modena,6,MOSSA DE REZENDE Bruno,Setter,1986,190,BRA,BRA,from 01/04/2011,-
2010/2011,A1,Casa Modena,7,DENNIS Angel,Spiker,1977,193,CUB,ITA,-,-
2010/2011,A1,Casa Modena,8,BEREZHKO Yuri,Spiker,1984,198,RUS,RUS,-,-
2010/2011,A1,Casa Modena,9,KOOY Dick,Spiker,1987,202,NED,NED,-,-
2010/2011,A1,Casa Modena,11,CASADEI Alberto,Spiker,1984,200,FC,ITA,-,-
2010/2011,A1,Casa Modena,14,ESKO Mikko,Setter,1978,198,FIN,FIN,-,-
2010/2011,A1,Casa Modena,15,CREUS LARRY Sebastian,Middleblocker,1981,201,ARG,ITA,-,-
2010/2011,A1,Casa Modena,16,CASOLI Cristian,Spiker,1975,192,VA,ITA,-,-
2010/2011,A1,Casa Modena,17,DIAZ Luis Augusto,Spiker,1983,195,VEN,VEN,-,-
2010/2011,A1,Casa Modena,18,PISCOPO Cosimo Marco,Middleblocker,1983,205,LE,ITA,-,-
2010/2011,A1,Copra Morpho Piacenza,1,POPP Marcus,Spiker,1981,191,GER,GER,-,-
2010/2011,A1,Copra Morpho Piacenza,2,SEMENZATO Andrea,Middleblocker,1981,208,VE,ITA,-,-
2010/2011,A1,Copra Morpho Piacenza,3,MARRA Davide,Libero,1984,180,CS,ITA,-,-
2010/2011,A1,Copra Morpho Piacenza,4,GONZALEZ Javier,Setter,1983,192,CUB,CUB,-,-
2010/2011,A1,Copra Morpho Piacenza,5,PIANO Matteo,Middleblocker,1990,207,AT,ITA,-,-
2010/2011,A1,Copra Morpho Piacenza,6,RUIZ Ivan Benito,Spiker,1977,195,CUB,ITA,-,-
2010/2011,A1,Copra Morpho Piacenza,7,PERAZZOLO Lorenzo,Spiker,1984,196,MN,ITA,-,-
2010/2011,A1,Copra Morpho Piacenza,8,NILSSON Marcus,Spiker,1982,205,SWE,SWE,-,-
2010/2011,A1,Copra Morpho Piacenza,9,MASSARI Jacopo,Spiker,1988,185,PR,ITA,-,-
2010/2011,A1,Copra Morpho Piacenza,11,ZLATANOV Hristo,Spiker,1976,201,BUL,ITA,-,-
2010/2011,A1,Copra Morpho Piacenza,12,HOLT Maxwell Philip,Middleblocker,1987,205,USA,USA,-,-
2010/2011,A1,Copra Morpho Piacenza,13,TENCATI Luca,Middleblocker,1979,200,CR,ITA,-,-
2010/2011,A1,Copra Morpho Piacenza,15,BOSCHI Federico,Setter,1987,188,PR,ITA,-,-
